Tool	Threads 	Runningtime	CPUPercent	MemoryUsage
detectEVE	1	1:19:40	99	13056504
detectEVE	1	1:19:17	99	13066556
detectEVE	1	1:19:21	99	13063588
detectEVE	8	12:30.19	703	13112748
detectEVE	8	12:28.35	705	13103556
detectEVE	8	12:27.82	706	13111708
detectEVE	16	8:16.59	1279	12624244
detectEVE	16	8:47.93	1194	12623172
detectEVE	16	8:45.56	1194	12622308
detectEVE	40	5:39.98	2875	13272508
detectEVE	40	5:31.23	2868	13261480
detectEVE	40	5:23.38	2933	13266904
DIGS	1	9:08:34	64	168264
DIGS	1	8:57:54	68	167708
DIGS	1	8:45:19	69	167796
DIGS	8	3:49:46	190	382488
DIGS	8	5:24:03	134	384100
DIGS	8	3:50:47	189	376484
DIGS	16	3:49:41	252	424720
DIGS	16	3:49:30	252	426012
DIGS	16	3:55:46	240	429612
DIGS	40	4:07:25	354	520524
DIGS	40	4:06:26	352	523340
DIGS	40	4:20:34	345	523664
Palatini	1	26:51:21	98	10364096
Palatini	1	28:36:03	98	10494016
Palatini	1	28:33:52	98	10494016
Palatini	8	4:37:23	628	10473804
Palatini	8	4:43:47	625	10704072
Palatini	8	5:17:24	644	10710168
Palatini	16	3:02:15	999	10569880
Palatini	16	3:03:35	1000	10564588
Palatini	16	3:37:59	1068	10791036
Palatini	40	3:04:04	1761	10895528
Palatini	40	2:40:13	2037	11540192
Palatini	40	2:42:12	2040	11564560
