10029,0,cricetulus griseus
100784,1,balearica regulorum gibbericeps
109280,2,hippocampus comes
110799,3,parnassius apollo
117008,4,cryptosporidium andersoni
118200,5,dryobates pubescens
118797,6,lipotes vexillifer
1234261,7,didymodactylos carnosus
128390,8,nipponia nippon
137246,9,chiloscyllium punctatum
139045,10,anopheles coustani
139047,11,anopheles bellator
139649,12,teleopsis dalmanni
143900,13,aldrovandia affinis
144034,14,pogonomyrmex barbatus
1496333,15,anopheles maculipalpis
1518534,16,anopheles coluzzii
1521116,17,anopheles marshallii
1534307,18,albula goreensis
154827,19,xyrauchen texanus
170555,20,timema monikensis
174621,21,wyeomyia smithii
175529,22,amazona guildingii
175797,23,silurus meridionalis
180454,24,anopheles gambiae str. pest
185578,25,anopheles nili
1867034,26,drosophila pandora
186751,27,anopheles moucheti
1868482,28,carlito syrichta
187451,29,vidua macroura
188477,30,elysia chlorotica
190385,31,uranotaenia lowii
193234,32,drosophila pseudotakahashii
219594,33,aythya fuligula
222702,34,lactarius indigo
223781,35,aquila chrysaetos chrysaetos
230686,36,acromyrmex insinuator
244254,37,drosophila bunnanda
248454,38,apolygus lucorum
2498891,39,topomyia yanbarensis
2530218,40,condylostylus longicornis
263140,41,sitodiplosis mosellana
265458,42,contarinia nasturtii
270530,43,synchiropus splendidus
27455,44,musca vetustissima
2762511,45,rotaria sp. silwood1
28829,46,solea senegalensis
30019,47,drosophila busckii
30066,48,anopheles merus
30069,49,anopheles stephensi
315576,50,chironomus riparius
319348,51,polypedilum vanderplanki
325434,52,malaya genurostris
329112,53,toxorhynchites rutilus septentrionalis
33587,54,mycteria americana
343691,55,hermetia illucens
345580,56,anopheles ziemanni
34720,57,trachymyrmex septentrionalis
348720,58,pararge aegeria aegeria
370345,59,batillaria attramentaria
38358,60,bradysia coprophila
38654,61,alligator sinensis
392032,62,rotaria socialis
39758,63,mayetiola destructor
42026,64,drosophila bipectinata
42192,65,mytilus coruscus
42434,66,culex pipiens pallens
42839,67,anopheles aquasalis
43151,68,anopheles darlingi
471704,69,trachymyrmex cornetzi
473457,70,gymnothorax javanicus
481459,71,gasterosteus aculeatus aculeatus
48427,72,nyctibius grandis
48698,73,poecilia formosa
50390,74,diabrotica virgifera virgifera
53552,75,sabethes cyaneus
54180,76,trachypithecus francoisi
56068,78,sula dactylatra
56313,79,tyto alba
568069,80,clunio marinus
57439,81,upupa epops
59472,82,pipistrellus kuhlii
61482,83,timema podura
6183,84,schistosoma mansoni
6184,85,schistosoma bovis
6189,86,schistosoma spindale
62324,87,anopheles funestus
64391,88,callosobruchus maculatus
64793,89,wasmannia auropunctata
6645,90,octopus vulgaris
6850,91,limulus polyphemus
68878,92,anopheles cruzii
7141,93,choristoneura fumiferana
7159,94,aedes aegypti
7160,95,aedes albopictus
7165,96,anopheles gambiae
7167,97,anopheles albimanus
7173,98,anopheles arabiensis
7176,99,culex quinquefasciatus
7200,100,lutzomyia longipalpis
7213,101,ceratitis capitata
7222,102,drosophila grimshawi
7230,103,drosophila mojavensis
7260,104,drosophila willistoni
74873,105,anopheles sinensis
75038,106,scatophagus argus
75939,107,dallia pectoralis
7604,108,asterias rubens
7782,109,leucoraja erinacea
7906,110,acipenser ruthenus
7936,111,anguilla anguilla
8022,112,oncorhynchus mykiss
8168,113,perca fluviatilis
81927,114,vidua chalybeata
83485,115,linepithema humile
8469,116,chelonia mydas
85066,117,corvus brachyrhynchos
8839,118,anas platyrhynchos
88886,119,drosophila sulfurigaster
89462,120,bubalus bubalis
89673,121,phyllostomus discolor
9261,122,tachyglossus aculeatus
9337,123,trichosurus vulpecula
94885,124,pantherophis guttatus
9606,125,homo sapiens
97097,126,phaethon lepturus
9837,127,camelus bactrianus
9906,128,bos javanicus
