eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ABRQ01_EVE001	high	100	viral (1)	VDB (1)	ABRQ01020862.1_2102-2566:+	9.32e-7	34.6	movement protein [Andean potato latent virus] acc=QVX32616.1 	movement protein [Andean potato latent virus] acc=QVX32616.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus latandigenum	Kitrinoviricota
ABRQ01_EVE002	high	100	viral (1)	VDB (1)	ABRQ01030502.1_6044-6616:-	7.44e-7	30	putative movement protein [Grapevine Syrah virus 1] acc=ANP94322.1 	putative movement protein [Grapevine Syrah virus 1] acc=ANP94322.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Marafivirus syrahense	Kitrinoviricota
ABRQ01_EVE003	high	100	viral (1)	VDB (1)	ABRQ01045152.1_796-1336:+	2.2e-6	32.3	movement protein [Watercress white vein virus] acc=AFC95825.1 	movement protein [Watercress white vein virus] acc=AFC95825.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Watercress white vein virus	Kitrinoviricota
ABRQ01_EVE004	high	100	viral (1)	VDB (1)	ABRQ01049652.1_1-659:+	5.45e-8	27.7	putative movement protein [Grapevine Syrah virus 1] acc=ANP94322.1 	putative movement protein [Grapevine Syrah virus 1] acc=ANP94322.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Marafivirus syrahense	Kitrinoviricota
ABRQ01_EVE005	high	100	viral (8)	VDB (8)	ABRQ01090900.1_6591-6949:-	3.89e-5	94.7	polyprotein [Bovine viral diarrhea virus 1] acc=AAF82566.1 	polyprotein [Bovine viral diarrhea virus 1] acc=AAF82566.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
ABRQ01_EVE006	high	100	viral (1)	VDB (1)	ABRQ01097885.1_371-960:+	3e-6	31.4	movement protein [Turnip yellow mosaic virus] acc=AMH40124.1 	movement protein [Turnip yellow mosaic virus] acc=AMH40124.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus brassicae	Kitrinoviricota
ABRQ01_EVE007	high	100	viral (22)	VDB (19), UDB Viruses (2), capsid (1)	ABRQ01135041.1_4206-4363:-	2.65e-13	62	capsid protein VP1 [Adeno-associated virus] acc=AGA15927.1 	capsid protein VP1 [Adeno-associated virus] acc=AGA15927.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Adeno-associated virus	Cossaviricota
ABRQ01_EVE008	high	100	viral (21)	VDB (19), capsid (1), UDB Viruses (1)	ABRQ01135041.1_4570-5334:-	3.2000000000000004e-64	54.9	major coat protein VP1 [adeno-associated virus 2] acc=UXD78461.1 	major coat protein VP1 [adeno-associated virus 2] acc=UXD78461.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus primate1	Cossaviricota
ABRQ01_EVE009	high	100	viral (20)	VDB (17), UDB Viruses (2), capsid (1)	ABRQ01135041.1_5747-5848:-	3.98e-10	64.7	capsid protein [Dependoparvovirus sp.] acc=QKN88776.1 	capsid protein [Dependoparvovirus sp.] acc=QKN88776.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus sp.	Cossaviricota
ABRQ01_EVE010	high	100	viral (22)	VDB (17), UDB Viruses (4), capsid (1)	ABRQ01135041.1_5947-6375:+	4.29e-36	50.3	capsid protein [Adeno-associated virus] acc=QZX63267.1 	capsid protein [Adeno-associated virus] acc=QZX63267.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Adeno-associated virus	Cossaviricota
