ID	Scaffold	Start	End	Len	q_seq_id	Num_total_hit	Num_viral_hit	Fraction_viral_hit	Bestviral_Protein	Virus_name	BestviralEval	Num_subj_same_bestViralEval	Bestviral_frame	Bestviral_percid	Bestviral_qcov	Bestviral_start	Bestviral_end	Bestviral_slen	Bestviral_taxid	Bestviral_accession	BestSubj	BestEval	Num_subj_same_bestEval	Sel_BestSubj	Sel_BestEval	Sel_Num_subj_same_bestEval	NIRVSmerged
NIRVS_15	JXXB01024901.1	5488	5879	391	AAD44041.1_acc|GENBANK|AAD44041.1|GENBANK|AF104024|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_JXXB01024901.1_5816_5556(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_028519071.1_polyubiquitin [Exaiptasia diaphana]:12-119	1.1e-22	1	XP_028519071.1_polyubiquitin [Exaiptasia diaphana]:12-119	1.1e-22	1	yes
NIRVS_1	JXXB01004259.1	331	696	365	CAJ78440.1_acc|GENBANK|CAJ78440.1|GENBANK|AM231627|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXB01004259.1_642_331(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_037772027.1_NEDD8 isoform X1 [Chelonia mydas]:5-112	2e-26	1	XP_037772027.1_NEDD8 isoform X1 [Chelonia mydas]:5-112	2e-26	1	yes
NIRVS_19	JXXB01037368.1	5090	5254	164	AAD44044.1_acc|GENBANK|AAD44044.1|GENBANK|AF104027|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_JXXB01037368.1_5254_5090(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_040224975.1_E3 ubiquitin-protein ligase parkin [Anopheles coluzzii] >XP_316606.3 E3 ubiquitin-protein ligase parkin isoform X2 [Anopheles gambiae]:32-85	2.1e-20	5	XP_040224975.1_E3 ubiquitin-protein ligase parkin [Anopheles coluzzii] >XP_316606.3 E3 ubiquitin-protein ligase parkin isoform X2 [Anopheles gambiae]:32-85	2.1e-20	4	yes
NIRVS_2	JXXB01005625.1	966	1136	170	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXB01005625.1_966_1136(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_039448466.1_small ubiquitin-related modifier 3-like [Culex pipiens pallens]:10-49	2e-13	13	XP_039448466.1_small ubiquitin-related modifier 3-like [Culex pipiens pallens]:10-49	2e-13	9	yes
NIRVS_11	JXXB01020716.1	1	168	167	QFX66041.1_acc|GENBANK|QFX66041.1|NEIGHBOR|MK775204|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXB01020716.1_168_1(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_052897899.1_ubiquitin-40S ribosomal protein S27a isoform X1 [Anopheles moucheti]:55-109	4.8e-20	3	XP_052897899.1_ubiquitin-40S ribosomal protein S27a isoform X1 [Anopheles moucheti]:55-109	4.8e-20	3	yes
NIRVS_9	JXXB01017565.1	757	1314	557	AYV99177.1_acc|GENBANK|AYV99177.1|GENBANK|MH282908|polyprotein_[Bat_pestivirus_BtSk-PestV-1/GX2017]_taxid=2487338_JXXB01017565.1_820_1215(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_312084.5_probable ATP-dependent RNA helicase spindle-E [Anopheles gambiae] >Q7QCW2.5 RecName: Full=Probable ATP-dependent RNA helicase spindle-E [Anopheles gambiae] >EAA07697.5 AGAP002829-PA [Anopheles gambiae str. PEST]:126-310	4.6e-83	3	XP_040169765.1_probable ATP-dependent RNA helicase spindle-E [Anopheles arabiensis]:126-310	4.6e-83	2	yes
NIRVS_12	JXXB01021250.1	13492	13746	254	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXB01021250.1_13746_13492(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_050087135.1_small ubiquitin-related modifier 3 [Anopheles aquasalis]:1-84	4.6e-38	1	XP_050087135.1_small ubiquitin-related modifier 3 [Anopheles aquasalis]:1-84	4.6e-38	1	yes
NIRVS_8	JXXB01016897.1	15996	16364	368	UHK03328.1_acc|GENBANK|UHK03328.1|GENBANK|MZ209659|polyprotein_[Hangzhou_frankliniella_intonsa_flavivirus_2]_taxid=2905438_JXXB01016897.1_16361_16014(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_049285055.1_ADP-ribose glycohydrolase OARD1-like [Anopheles funestus]:63-184	1.1e-53	1	XP_049285055.1_ADP-ribose glycohydrolase OARD1-like [Anopheles funestus]:63-184	1.1e-53	1	yes
NIRVS_22	JXXB01040490.1	2010	2651	641	QFX66041.1_acc|GENBANK|QFX66041.1|NEIGHBOR|MK775204|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXB01040490.1_2463_2651(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_058060233.1_polyubiquitin-B-like [Anopheles bellator]:1-195	1.7e-97	4	XP_058060233.1_polyubiquitin-B-like [Anopheles bellator]:1-195	1.7e-97	4	yes
NIRVS_20	JXXB01037417.1	8218	8472	254	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXB01037417.1_8472_8218(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_058060693.1_small ubiquitin-related modifier 3 [Anopheles bellator]:1-84	7.1e-39	2	XP_058060693.1_small ubiquitin-related modifier 3 [Anopheles bellator]:1-84	7.1e-39	2	yes
