eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CABD02_EVE001	high	100	viral (2)	VDB (2)	CABD02002428.1_337-939:-	1e-6	29.7	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1 	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus physalis	Kitrinoviricota
CABD02_EVE002	high	100	viral (3)	VDB (2), UDB Viruses (1)	CABD02005139.1_2212-2986:+	2.14e-54	41.5	G n=2 Tax=Carbovirus  RepID=A0A2K8MNE3_9MONO	G n=2 Tax=Carbovirus  RepID=A0A2K8MNE3_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Carbovirus;s__unclassified Carbovirus species	Negarnaviricota
CABD02_EVE003	high	100	viral (15)	VDB (11), UDB Viruses (4)	CABD02005139.1_4237-4467:+	4.31e-19	48.1	G [Southwest carpet python virus] acc=YP_009508488.1 	G [Southwest carpet python virus] acc=YP_009508488.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Carbovirus;s__Carbovirus tapeti	Negarnaviricota
CABD02_EVE004	high	100	viral (1)	VDB (1)	CABD02006927.1_1270-1479:+	8.1e-7	40	hypothetical protein [CRESS virus sp.] acc=AYP28893.1 	hypothetical protein [CRESS virus sp.] acc=AYP28893.1 	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__unclassified Cressdnaviricota class;o__unclassified Cressdnaviricota order;f__unclassified Cressdnaviricota family;g__unclassified Cressdnaviricota genus;s__Cressdnaviricota sp.	Cressdnaviricota
CABD02_EVE005	high	100	viral (13)	VDB (10), UDB Viruses (3)	CABD02009223.1_226-617:-	8.030000000000001e-21	41	Glycoprotein [Variegated squirrel bornavirus 1] acc=CEK41891.1 	Glycoprotein [Variegated squirrel bornavirus 1] acc=CEK41891.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus sciuri	Negarnaviricota
CABD02_EVE006	high	100	viral (7)	endogenous (6), VDB (1)	CABD02038126.1_6176-7267:-	9.149999999999999e-253	96.2	Endogenous Bornavirus-like nucleoprotein 1 n=21 Tax=Simiiformes  RepID=EBLN1_HUMAN	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1 	NA	Chordata
CABD02_EVE007	high	100	viral (2)	UDB Viruses (1), VDB (1)	CABD02047419.1_3531-3897:+	3.96e-5	37.9	Putative movement protein n=1 Tax=Anagyris vein yellowing virus  RepID=Q3BD94_9VIRU	Putative movement protein n=1 Tax=Anagyris vein yellowing virus  RepID=Q3BD94_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus anagyris	Kitrinoviricota
CABD02_EVE008	high	100	viral (1)	VDB (1)	CABD02056299.1_55-1025:-	6.03e-8	29.8	movement protein [Andean potato latent virus] acc=QVX32616.1 	movement protein [Andean potato latent virus] acc=QVX32616.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus latandigenum	Kitrinoviricota
CABD02_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	CABD02065326.1_7640-8438:+	3.65e-5	30.1	Movement protein n=1 Tax=Asclepias asymptomatic virus  RepID=F5A8F3_9VIRU	Movement protein n=1 Tax=Asclepias asymptomatic virus  RepID=F5A8F3_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Asclepias asymptomatic virus	Kitrinoviricota
CABD02_EVE010	high	100	viral (2)	UDB Viruses (1), VDB (1)	CABD02065366.1_644-1442:+	3.65e-5	30.1	Movement protein n=1 Tax=Asclepias asymptomatic virus  RepID=F5A8F3_9VIRU	Movement protein n=1 Tax=Asclepias asymptomatic virus  RepID=F5A8F3_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Asclepias asymptomatic virus	Kitrinoviricota
