eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AAWU01_EVE001	high	100	viral (1)	VDB (1)	AAWU01013259.1_2882-3004:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
AAWU01_EVE002	high	100	viral (1)	VDB (1)	AAWU01013260.1_1238-1360:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
AAWU01_EVE003	high	100	viral (1)	VDB (1)	AAWU01016133.1_3435-3557:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
AAWU01_EVE004	high	100	viral (1)	VDB (1)	AAWU01027866.1_22789-22911:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
AAWU01_EVE005	high	100	viral (1)	VDB (1)	AAWU01034157.1_17440-17562:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
AAWU01_EVE006	high	100	viral (4)	VDB (3), UDB Viruses (1)	AAWU01035238.1_39152-39429:+	7.88e-43	83.9	putative nucleoprotein [Wuhan Mosquito Virus 8] acc=YP_009177721.1 	putative nucleoprotein [Wuhan Mosquito Virus 8] acc=YP_009177721.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__Culicidavirus;s__Culicidavirus culicidae	Negarnaviricota
AAWU01_EVE007	high	100	viral (1)	VDB (1)	AAWU01042957.1_15588-15710:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
AAWU01_EVE008	high	100	viral (1)	VDB (1)	AAWU01042957.1_27142-27264:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
AAWU01_EVE009	high	100	viral (1)	VDB (1)	AAWU01042957.1_38551-38673:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
AAWU01_EVE010	high	100	viral (1)	VDB (1)	AAWU01047416.1_6772-6894:+	7.12e-15	76.2	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	RNA dependent RNA polymerase [Hanko totivirus 4] acc=UUV42491.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hanko totivirus 4	Duplornaviricota
