Contig	name	Host_species	Location	Orientation	Best_viral_match	evalue NR	evalue PFAM	Element_name	virus_type	Virus	genus	identity	related gene product, total length		X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11		X12	X13	X14
AAFR03010417	n.s.	Opossum	72682-75762	-	AY769362	1.00E-79	9.50E-15	13384-15570	NA	negative sense RNA	Ebolavirus	NA	NA	NA	AAFR03010417.1	73865	75762	5.52E-122	AAV48581.1	439	-	44.1	651	344	9	601	1252	AAV48581.1 acc|GENBANK|AAV48581.1|NEIGHBOR|AY769362|polymerase [Reston ebolavirus] acc=AAV48581.1 taxid=186539	
AAFR03010417	n.s.	Opossum	72682-75762	-	AY769362	1.00E-79	9.50E-15	13384-15570	NA	negative sense RNA	Ebolavirus	NA	NA	NA	AAFR03010417.1	72741	72960	7.97E-12	YP_010087189.1	77.4	-	56.8	74	31	1	1266	1340	YP_010087189.1 acc|REFSEQ|YP_010087189.1|REFSEQ|NC_055510|RNA-directed RNA polymerase L [Dianlovirus menglaense] acc=YP_010087189.1 taxid=3052181	
AAFR03030551	n.s.	(Monodelphis domestica)	158351-161130	+	FJ620690	1.00E-93	6.20E-50	5448-7625	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAFR03030551.1	158330	161256	2.28E-225	YP_010085030.1	745	+	42.9	998	547	10	573	1570	YP_010085030.1 acc|REFSEQ|YP_010085030.1|REFSEQ|NC_055169|L protein [Wuhan sharpbelly bornavirus] acc=YP_010085030.1 taxid=2116489	
AAFR03032811	n.s.	Opossum	17552-18109	-	FJ169441	6.00E-15	1.70E-13	483-848	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAFR03032811.1	17453	18407	6.57E-30	QGM12619.1	128	-	34	329	203	6	46	371	QGM12619.1 acc|GENBANK|QGM12619.1|GENBANK|MK291398|nucleoprotein [Parrot bornavirus 7] acc=QGM12619.1 taxid=1548719	
AAGE02000021	n.s.	Yellow fever mosquito	8314-9021	-ve	AY317103.1	2.00E-86	4.00E-14	241-1746	NA	double stranded RNA	Seadornavirus	NA	NA	NA	AAGE02000021.1	8316	8841	5.68E-92	AVP49987.1	313	-	84.6	175	27	0	313	488	AVP49987.1 acc|GENBANK|AVP49987.1|NEIGHBOR|MG725061|VP5 [Liao ning virus] acc=AVP49987.1 taxid=246280	
AAGE02000021	n.s.	Yellow fever mosquito	8314-9021	-ve	AY317103.1	2.00E-86	4.00E-14	241-1746	NA	double stranded RNA	Seadornavirus	NA	NA	NA	AAGE02000021.1	8838	8976	9.83E-13	AVP49987.1	79	-	71.7	46	13	0	1	47	AVP49987.1 acc|GENBANK|AVP49987.1|NEIGHBOR|MG725061|VP5 [Liao ning virus] acc=AVP49987.1 taxid=246280	
AAGE02000021	n.s.	(Aedes aegypti)	44030-44884	-	FJ872827	1.00E-17	1.20E-33	3237-4094	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02000021.1	43514	45025	2.41E-91	WCD44313.1	313	-	35	512	322	5	7	516	WCD44313.1 acc|GENBANK|WCD44313.1|GENBANK|ON955240|putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1 taxid=2980629	
AAGE02000022	n.s.	(Aedes aegypti)	2897-3247	+	AM690337.2	3.00E-05	1.00E-10	3732-4073	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02000022.1	2872	3619	2.17E-77	QRD99857.1	262	+	47	249	132	0	7	256	QRD99857.1 acc|GENBANK|QRD99857.1|GENBANK|MW520364|glycoprotein [Evros rhabdovirus 1] acc=QRD99857.1 taxid=2805769	
AAGE02000109	n.s.	(Aedes aegypti)	10351-11601	+	AF523194	8.00E-45	7.00E-66	142-1107	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02000109.1	10278	11625	1.24E-56	BDV27057.1	209	+	31.3	482	278	12	4	466	BDV27057.1 acc|GENBANK|BDV27057.1|GENBANK|LC743513|nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1 taxid=936308	
AAGE02000295	n.s.	(Aedes aegypti)	45909-46376	+	FJ665628	4.00E-30	7.10E-37	8259-8729	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02000295.1	45693	46538	3.74E-99	QBQ64915.1	365	+	66	285	93	2	592	877	QBQ64915.1 acc|GENBANK|QBQ64915.1|GENBANK|MH707450|Rdrp [Grenada mosquito rhabdovirus 1] acc=QBQ64915.1 taxid=2125980	
