eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AADN02_EVE001	high	100	viral (1)	VDB (1)	AADN02010783.1_306-527:-	3.68e-6	36	hypothetical protein [Totiviridae sp.] acc=WAK77598.1 	hypothetical protein [Totiviridae sp.] acc=WAK77598.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Totiviridae sp.	Duplornaviricota
AADN02_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02013237.1_18380-18559:-	1.74e-8	44.6	p13 [Piscine orthoreovirus 2] acc=BAV80779.1 	p13 [Piscine orthoreovirus 2] acc=BAV80779.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Orthoreovirus;s__Piscine orthoreovirus 2	Duplornaviricota
AADN02_EVE003	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02022496.1_74188-74522:+	1.3199999999999999e-28	68.5	sigma NS [Muscovy duck reovirus] acc=AGG20355.1 	sigma NS [Muscovy duck reovirus] acc=AGG20355.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Orthoreovirus;s__Avian orthoreovirus	Duplornaviricota
AADN02_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02041871.1_6424-6793:+	3.45e-20	50.7	hemagglutinin [Influenza A virus (A/chicken/Iraq/KCVL-007/2015(H5N1))] acc=AMU04500.1 	hemagglutinin [Influenza A virus (A/chicken/Iraq/KCVL-007/2015(H5N1))] acc=AMU04500.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Alphainfluenzavirus;s__Alphainfluenzavirus influenzae	Negarnaviricota
AADN02_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02049479.1_375-777:+	8.52e-5	31.6	Polyprotein n=2 Tax=Rhizoctonia solani flexivirus 1  RepID=A0A1B1HYD9_9VIRU	Polyprotein n=2 Tax=Rhizoctonia solani flexivirus 1  RepID=A0A1B1HYD9_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__unclassified Tymovirales family;g__unclassified Tymovirales genus;s__Rhizoctonia solani flexivirus 1	Kitrinoviricota
AADN02_EVE006	high	100	viral (1)	VDB (1)	AADN02051488.1_263-509:+	2.1e-6	36.9	putative movement protein [Grapevine asteroid mosaic associated virus] acc=YP_009315884.1 	putative movement protein [Grapevine asteroid mosaic associated virus] acc=YP_009315884.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Marafivirus asteroides	Kitrinoviricota
AADN02_EVE007	high	100	viral (1)	VDB (1)	AADN02053553.1_846-1709:-	1.82e-6	28.2	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1 	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus physalis	Kitrinoviricota
AADN02_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02053700.1_312-533:+	4.57e-7	34.6	early protein E5 [Human papillomavirus type 53] acc=ALJ32504.1 	early protein E5 [Human papillomavirus type 53] acc=ALJ32504.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Alphapapillomavirus;s__Alphapapillomavirus 6	Cossaviricota
AADN02_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02063971.1_998-1402:+	2.94e-5	30.9	Movement protein n=4 Tax=Switchgrass mosaic virus  RepID=F5CJX8_9VIRU	Movement protein n=4 Tax=Switchgrass mosaic virus  RepID=F5CJX8_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
AADN02_EVE010	high	100	viral (1)	VDB (1)	AADN02065816.1_11-407:-	6.06e-7	30.1	VP6 protein [Epizootic hemorrhagic disease virus 5] acc=BDY02940.1 	VP6 protein [Epizootic hemorrhagic disease virus 5] acc=BDY02940.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Epizootic hemorrhagic disease virus	Duplornaviricota
AADN02_EVE011	high	100	viral (1)	VDB (1)	AADN02070505.1_110-421:-	2.5e-6	39.6	E2 [Canis familiaris papillomavirus 15] acc=AGA15834.1 	E2 [Canis familiaris papillomavirus 15] acc=AGA15834.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Chipapillomavirus;s__Chipapillomavirus 3	Cossaviricota
AADN02_EVE012	high	84	viral (12), non-viral (2)	VDB (7), endogenous (4), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02031187.1_1401-1698:-	3.13e-11	36.4	Protein FAM204A isoform X1 n=1 Tax=Python bivittatus  RepID=A0A9F5MS02_PYTBI	nucleoprotein [Loveridges garter snake virus 1] acc=YP_009055058.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus elapsoideae	Negarnaviricota
AADN02_EVE013	high	74	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	AADN02019188.1_734-1118:+	1.4e-6	38	atherin-like n=1 Tax=Chionomys nivalis  RepID=UPI002599614E	E2 [Canis familiaris papillomavirus 19] acc=AOP12498.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Taupapillomavirus;s__Taupapillomavirus 1	Cossaviricota
AADN02_EVE014	high	71	viral (12), maybe-viral (7), non-viral (1)	VDB (6), envelope (4), polyprotein protein (4), uncharacterized protein (3), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	AADN02001644.1_9-536:-	1.1299999999999999e-114	95.5	envelope protein [Avian leukosis virus] acc=ASM94216.1 	envelope protein [Avian leukosis virus] acc=ASM94216.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE015	high	67	viral (11), maybe-viral (8), non-viral (1)	VDB (6), envelope (4), polyprotein protein (4), uncharacterized protein (4), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02068873.1_38-484:+	1.32e-97	97.3	envelope protein [Avian leukosis virus] acc=ASM94216.1 	envelope protein [Avian leukosis virus] acc=ASM94216.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE016	high	66	viral (13), non-viral (5), maybe-viral (2)	viral (13), annotated protein of Eukaryota (5), uncharacterized protein (2)	AADN02019214.1_30601-30702:-	1.12e-19	100	RING-type domain-containing protein n=53 Tax=Sauria  RepID=G1N383_MELGA	NA	NA	Chordata
AADN02_EVE017	high	66	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	AADN02072231.1_432-1042:+	1.38e-5	29.6	BZIP domain-containing protein n=56 Tax=Fusarium  RepID=A0A8H5XU22_9HYPO	Movement protein n=3 Tax=unclassified Tymovirus  RepID=A0A8T9JBY0_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__unclassified Tymovirus species	Kitrinoviricota
AADN02_EVE018	high	65	viral (11), maybe-viral (7), non-viral (2)	VDB (6), polyprotein protein (4), envelope (3), uncharacterized protein (3), UDB Viruses (2), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1)	AADN02032580.1_1669-2028:+	4.05e-74	98.3	Envelope glycoprotein gp95 n=216 Tax=Alpharetrovirus  RepID=ENV_RSVP	Envelope glycoprotein gp95 n=216 Tax=Alpharetrovirus  RepID=ENV_RSVP	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__unclassified Alpharetrovirus species	unclassified root phylum
AADN02_EVE019	high	61	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	AADN02038797.1_2178-2375:+	2.02e-8	37.9	coat protein [Neofusicoccum parvum victorivirus 2] acc=QTE76049.1 	coat protein [Neofusicoccum parvum victorivirus 2] acc=QTE76049.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Victorivirus;s__Neofusicoccum parvum victorivirus 2	Chordata
AADN02_EVE020	high	60	viral (12), non-viral (7), maybe-viral (1)	viral (12), annotated protein of Eukaryota (7), uncharacterized protein (1)	AADN02019214.1_33556-33777:-	4.03e-47	98.6	RING-type domain-containing protein n=53 Tax=Sauria  RepID=G1N383_MELGA	NA	NA	Chordata
AADN02_EVE021	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	AADN02009550.1_3183-4043:-	3.11e-5	27.2	uncharacterized protein LOC120432016 n=1 Tax=Culex pipiens pallens  RepID=UPI001953FDFB	movement protein [Andean potato latent virus] acc=QVX32616.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus latandigenum	Arthropoda
AADN02_EVE022	high	58	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	AADN02064616.1_190-488:-	1.32e-5	44.4	Uncharacterized protein n=1 Tax=Penaeus vannamei  RepID=A0A3R7M2Y7_PENVA	replicase/papain-like protease [Turnip yellow mosaic virus] acc=NP_663297.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus brassicae	Arthropoda
AADN02_EVE023	high	58	viral (10), maybe-viral (9), non-viral (1)	VDB (6), uncharacterized protein (5), polyprotein protein (4), envelope (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02066787.1_404-898:-	1.57e-110	97.6	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE024	high	57	viral (10), maybe-viral (9), non-viral (1)	VDB (6), uncharacterized protein (5), polyprotein protein (4), envelope (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02049873.1_101994-102572:+	8.889999999999999e-129	99	gag-env fusion protein [Gallus gallus] acc=AGL33449.1 	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE025	high	57	viral (10), maybe-viral (9), non-viral (1)	VDB (6), uncharacterized protein (5), polyprotein protein (4), envelope (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02071444.1_2411-2986:+	2.9499999999999997e-130	97.9	Env polyprotein (Fragment) n=10 Tax=root  RepID=Q9QME7_9RETR	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE026	high	55	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (7), VDB (5), envelope (3), polyprotein protein (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02013680.1_55523-56017:+	3.1899999999999996e-69	66.9	LOW QUALITY PROTEIN: uncharacterized protein LOC107306240 n=1 Tax=Coturnix japonica  RepID=UPI0013A5CD3F	envelope protein [Avian leukosis virus] acc=AAU06813.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE027	high	55	maybe-viral (11), viral (10), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), envelope (3), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02029133.1_22729-23112:+	1.46e-50	63.8	LOW QUALITY PROTEIN: uncharacterized protein LOC107306240 n=1 Tax=Coturnix japonica  RepID=UPI0013A5CD3F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE028	high	55	viral (4), non-viral (3)	annotated protein of Eukaryota (3), VDB (3), UDB Viruses (1)	AADN02034303.1_94-1070:-	2.26e-6	33.7	proline-rich extensin-like protein EPR1 n=2 Tax=Homarus americanus  RepID=UPI001C46E94F	69K protein [Naranjilla chlorotic mosaic virus] acc=AUR53411.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__unclassified Tymoviridae genus;s__Naranjilla chlorotic mosaic virus	Kitrinoviricota
AADN02_EVE029	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02016659.1_446-870:+	6.99e-78	84.6	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE030	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02038676.1_1389-1843:+	7.25e-88	87.6	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE031	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02063475.1_44166-44582:-	6.420000000000001e-73	75.5	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE032	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02063579.1_1025-1444:-	4.41e-76	81.3	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE033	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02070314.1_620-1007:-	2.27e-70	85.6	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE034	high	54	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02077250.1_342-883:+	1.61e-117	98.3	Uncharacterized protein n=9 Tax=Phasianinae  RepID=A0A8V0XAE5_CHICK	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE035	high	53	viral (12), non-viral (6), false-viral (2)	viral (12), annotated protein of Eukaryota (6), ubiquitin (2)	AADN02004982.1_82471-82686:+	3.97e-41	94.4	BIR protein n=310 Tax=Amniota  RepID=A0A8C3JZ15_9CHAR	NA	NA	Chordata
AADN02_EVE036	high	53	maybe-viral (11), viral (9), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02016436.1_51609-52105:+	6.89e-80	81.2	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE037	high	53	maybe-viral (11), viral (9), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02027354.1_31606-32043:-	5.25e-79	77.9	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE038	high	53	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02029132.1_2249-2790:-	4.96e-118	100	Gag-env fusion protein n=27 Tax=root  RepID=Q9QME4_9RETR	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE039	high	53	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02029469.1_1386-1927:-	3.44e-120	100	Uncharacterized protein n=9 Tax=Phasianinae  RepID=A0A8V0XAE5_CHICK	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE040	high	53	maybe-viral (10), viral (9), non-viral (1)	uncharacterized protein (6), VDB (6), polyprotein protein (4), envelope (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02042212.1_174-715:-	8.9e-117	98.3	Uncharacterized protein n=9 Tax=Phasianinae  RepID=A0A8V0XAE5_CHICK	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE041	high	53	viral (9), maybe-viral (8), non-viral (3)	VDB (6), polyprotein protein (5), envelope (3), uncharacterized protein (3), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (1)	AADN02056803.1_370-882:-	1.52e-15	28.9	envelope polyprotein [Retroviridae sp.] acc=QLI47669.1 	envelope polyprotein [Retroviridae sp.] acc=QLI47669.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__unclassified Retroviridae genus;s__Retroviridae sp.	unclassified root phylum
AADN02_EVE042	high	52	viral (12), non-viral (5), false-viral (2), maybe-viral (2)	viral (11), annotated protein of Eukaryota (5), ubiquitin (2), uncharacterized protein (2), VDB (1)	AADN02019214.1_33295-33438:-	3.11e-20	97.6	RING-type domain-containing protein n=53 Tax=Sauria  RepID=G1N383_MELGA	IAP-3 [Spodoptera cosmioides nucleopolyhedrovirus] acc=QEI03480.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Alphabaculovirus;s__Spodoptera cosmioides nucleopolyhedrovirus	Chordata
AADN02_EVE043	high	51	viral (11), non-viral (7), false-viral (1), maybe-viral (1)	viral (11), annotated protein of Eukaryota (7), ubiquitin (1), uncharacterized protein (1)	AADN02004982.1_82903-83121:+	3.79e-50	100	Inhibitor of apoptosis protein 1 (Fragment) n=15 Tax=Neognathae  RepID=Q6RSS5_CHICK	NA	NA	Chordata
AADN02_EVE044	high	51	viral (10), non-viral (9), maybe-viral (1)	viral (10), annotated protein of Eukaryota (9), uncharacterized protein (1)	AADN02004982.1_83161-83473:+	6.65e-36	64.8	BIR protein n=310 Tax=Amniota  RepID=A0A8C3JZ15_9CHAR	NA	NA	Chordata
AADN02_EVE045	high	50	maybe-viral (11), viral (8), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02012569.1_23858-24358:+	3.1599999999999997e-99	86.9	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE046	high	50	maybe-viral (11), viral (8), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02054616.1_7436-7959:-	1.6899999999999998e-90	75.1	uncharacterized protein LOC771474 n=3 Tax=Gallus gallus  RepID=UPI001F00225F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
AADN02_EVE047	high	50	maybe-viral (11), viral (8), non-viral (1)	uncharacterized protein (7), VDB (6), polyprotein protein (4), annotated protein of unclassified root superkingdom (1), envelope (1), UDB Viruses (1)	AADN02074813.1_1169-1642:+	1.37e-63	65	LOW QUALITY PROTEIN: uncharacterized protein LOC107306240 n=1 Tax=Coturnix japonica  RepID=UPI0013A5CD3F	envelope precursor protein [Avian leukosis virus] acc=AAG45096.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	Chordata
