qseqid	qtart	qend	sseqid	bitscore	Orientation	identity	length	mismatches	gaps	sstart	send	evalue	ssciname	database	taxid	viral_lineage																
AAGE02000109.1_10279-11625:+	219	1347	UniRef50_Q16VL5	718	+	92.8	376	27	0	31	407	1.49E-259	UniRef50_Q16VL5 Nucleoprotein n=5 Tax=Aedes aegypti TaxID=7159 RepID=Q16VL5_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02000109.1_10279-11625:+	105	1117	UniRef50_Q0IGC6	466	+	69.2	338	80	3	11	325	2.95E-161	UniRef50_Q0IGC6 Nucleoprotein n=2 Tax=Aedes aegypti TaxID=7159 RepID=Q0IGC6_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02000109.1_10279-11625:+	3	938	UniRef50_Q17A07	427	+	67.7	313	93	1	13	318	3.57E-146	UniRef50_Q17A07 Nucleoprotein n=3 Tax=Aedes aegypti TaxID=7159 RepID=Q17A07_AEDAE	UDB	7159	k__Eukaryota;K__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti																
AAGE02000109.1_10279-11625:+	72	1338	UYL94378.1	209	+	31.2	426	278	8	36	451	7.06E-62	UYL94378.1 acc|GENBANK|UYL94378.1|GENBANK|ON955141|putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 taxid=2980580	VDB	2980580	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Enontekio merhavirus																
AAGE02000109.1_10279-11625:+	0	1347	BDV27057.1	209	+	31.3	482	278	12	4	466	2.07E-61	BDV27057.1 acc|GENBANK|BDV27057.1|GENBANK|LC743513|nucleoprotein [Culex tritaeniorhynchus rhabdovirus] acc=BDV27057.1 taxid=936308	VDB	936308	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus tritaeniorhynchus																
AAGE02000109.1_10279-11625:+	45	1323	UBB42399.1	206	+	31.2	430	264	6	15	417	4.82E-61	UBB42399.1 acc|GENBANK|UBB42399.1|GENBANK|MZ328293|nucleoprotein [Longquan Niviventer coninga ledantevirus 1] acc=UBB42399.1 taxid=2877507	VDB	2877507	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ledantevirus;s__Ledantevirus longquan																
AAGE02000109.1_10279-11625:+	72	1338	UniRef50_A0AAE9P8V4	209	+	31.2	426	278	8	36	451	1.39E-59	UniRef50_A0AAE9P8V4 Nucleocapsid protein n=1 Tax=Enontekio merhavirus TaxID=2980580 RepID=A0AAE9P8V4_9RHAB	UDB	2980580	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Enontekio merhavirus																
AAGE02000109.1_10279-11625:+	0	1347	UniRef50_F7J0U9	208	+	31.1	482	279	12	4	466	7.98E-59	UniRef50_F7J0U9 Nucleoprotein n=5 Tax=root TaxID=1 RepID=F7J0U9_9RHAB	UDB	1	k__unclassified root superkingdom;K__unclassified root kingdom;p__unclassified root phylum;c__unclassified root class;o__unclassified root order;f__unclassified root family;g__unclassified root genus;s__unclassified root species																
AAGE02000109.1_10279-11625:+	30	1323	YP_009552816.1	201	+	31.6	434	268	7	18	426	1.04E-58	YP_009552816.1 acc|REFSEQ|YP_009552816.1|REFSEQ|NC_040669|nucleoprotein [Riverside virus 1] acc=YP_009552816.1 taxid=1803263	VDB	1803263	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus riverside																
AAGE02000109.1_10279-11625:+	33	1323	WCD55362.1	196	+	30	433	277	6	13	423	7.89E-57	WCD55362.1 acc|GENBANK|WCD55362.1|GENBANK|OQ077989|nucleocapsid protein [Adumi ohlsrhavirus] acc=WCD55362.1 taxid=3018307	VDB	3018307	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Adumi ohlsrhavirus																
