eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ACHR01_EVE001	high	100	viral (3)	UDB Viruses (1), VDB (1), viral (1)	ACHR01001378.1_6540-6766:-	2.5e-7	37.5	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACHR01_EVE002	high	100	viral (20)	UDB Viruses (11), VDB (9)	ACHR01023365.1_615-1071:+	2.85e-29	43.6	Replicase n=3 Tax=unclassified Rhabdoviridae  RepID=A0A9N6YJ19_9RHAB	Replicase n=3 Tax=unclassified Rhabdoviridae  RepID=A0A9N6YJ19_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
ACHR01_EVE003	high	100	viral (5)	VDB (3), UDB Viruses (2)	ACHR01050877.1_64-304:-	8.73e-8	43.4	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACHR01_EVE004	high	100	viral (4)	VDB (3), UDB Viruses (1)	ACHR01051329.1_298-770:+	5.04e-6	32.7	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACHR01_EVE005	high	96	viral (14), maybe-viral (1)	VDB (8), UDB Viruses (5), uncharacterized protein (1), viral (1)	ACHR01027450.1_821-2066:+	1.76e-80	44.5	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACHR01_EVE006	high	96	viral (15), maybe-viral (1)	VDB (9), UDB Viruses (5), uncharacterized protein (1), viral (1)	ACHR01046001.1_1775-3020:+	9.01e-81	44.5	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACHR01_EVE007	high	96	viral (15), maybe-viral (1)	VDB (9), UDB Viruses (5), uncharacterized protein (1), viral (1)	ACHR01059641.1_195-1440:+	9.01e-81	44.5	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACHR01_EVE008	high	95	viral (14), maybe-viral (1)	VDB (8), UDB Viruses (5), uncharacterized protein (1), viral (1)	ACHR01052416.1_5943-7190:+	7.51e-77	44.3	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACHR01_EVE009	high	92	viral (10), maybe-viral (1)	VDB (9), UDB Viruses (1), uncharacterized protein (1)	ACHR01024118.1_2-307:+	7.89e-7	45.6	Uncharacterized protein n=1 Tax=Acacia crassicarpa  RepID=A0AAE1MB04_9FABA	RNA-dependent RNA polymerase [Solanum chacoense mitovirus 1] acc=YP_010798874.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__Duamitovirus;s__Duamitovirus soch1	Lenarviricota
ACHR01_EVE010	high	87	viral (13), maybe-viral (1), non-viral (1)	VDB (12), annotated protein of unclassified root superkingdom (1), UDB Viruses (1), uncharacterized protein (1)	ACHR01031401.1_1765-2137:-	4.51e-10	47	Uncharacterized protein n=1 Tax=Acacia crassicarpa  RepID=A0AAE1MB04_9FABA	RNA-dependent RNA polymerase [Solanum chacoense mitovirus 1] acc=YP_010798874.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__Duamitovirus;s__Duamitovirus soch1	Lenarviricota
ACHR01_EVE011	high	87	viral (13), maybe-viral (1), non-viral (1)	VDB (12), annotated protein of unclassified root superkingdom (1), UDB Viruses (1), uncharacterized protein (1)	ACHR01050900.1_1331-1703:+	4.51e-10	47	Uncharacterized protein n=1 Tax=Acacia crassicarpa  RepID=A0AAE1MB04_9FABA	RNA-dependent RNA polymerase [Solanum chacoense mitovirus 1] acc=YP_010798874.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__Duamitovirus;s__Duamitovirus soch1	Lenarviricota
ACHR01_EVE012	high	84	viral (4), maybe-viral (1)	VDB (2), UDB Viruses (1), uncharacterized protein (1), viral (1)	ACHR01012959.1_12449-12791:+	1.61e-7	35.5	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACHR01_EVE013	high	84	viral (4), maybe-viral (1)	VDB (2), UDB Viruses (1), uncharacterized protein (1), viral (1)	ACHR01019716.1_864-1206:-	1.61e-7	35.5	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMG1_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
