eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ABRP01_EVE001	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABRP01024625.1_4109-4387:+	3.47e-6	36.7	Long-distance movement protein n=2 Tax=Ethiopian tobacco bushy top virus  RepID=A0A077D9S6_9TOMB	Long-distance movement protein n=2 Tax=Ethiopian tobacco bushy top virus  RepID=A0A077D9S6_9TOMB	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__Umbravirus;s__Umbravirus ethiopiaense	Kitrinoviricota
ABRP01_EVE002	high	100	viral (3)	VDB (2), UDB Viruses (1)	ABRP01030558.1_1038-1902:+	1.97e-5	28.7	Movement protein MP n=2 Tax=Diascia yellow mottle virus  RepID=B4YUL5_9VIRU	Movement protein MP n=2 Tax=Diascia yellow mottle virus  RepID=B4YUL5_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Diascia yellow mottle virus	Kitrinoviricota
ABRP01_EVE003	high	100	viral (6)	VDB (6)	ABRP01048741.1_3771-4583:-	2.84e-11	30.6	nucleoprotein [Mexican black-tailed rattlesnake bornavirus] acc=YP_010798895.1 	nucleoprotein [Mexican black-tailed rattlesnake bornavirus] acc=YP_010798895.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus caenophidiae	Negarnaviricota
ABRP01_EVE004	high	100	viral (3)	VDB (3)	ABRP01055431.1_3339-3681:+	6.58e-8	36	non-structural polyprotein [Paslahepevirus balayani] acc=BCK51613.1 	non-structural polyprotein [Paslahepevirus balayani] acc=BCK51613.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__Paslahepevirus;s__Paslahepevirus balayani	Kitrinoviricota
ABRP01_EVE005	high	100	viral (1)	VDB (1)	ABRP01080552.1_192-630:-	5.08e-7	36	E2 [Leptonychotes weddellii papillomavirus 3] acc=YP_009466002.1 	E2 [Leptonychotes weddellii papillomavirus 3] acc=YP_009466002.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__unclassified Papillomaviridae genus;s__Leptonychotes weddellii papillomavirus 3	Cossaviricota
ABRP01_EVE006	high	100	viral (1)	VDB (1)	ABRP01094807.1_120-679:-	1.3e-6	30.4	E2 [Canis familiaris papillomavirus 15] acc=AGA15834.1 	E2 [Canis familiaris papillomavirus 15] acc=AGA15834.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Chipapillomavirus;s__Chipapillomavirus 3	Cossaviricota
ABRP01_EVE007	high	100	viral (1)	VDB (1)	ABRP01097525.1_1203-1560:+	1.56e-7	35.1	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
ABRP01_EVE008	high	100	viral (1)	VDB (1)	ABRP01124222.1_2037-3404:+	8.78e-6	28	movement protein [Ullucus tymovirus 2] acc=AZF99023.1 	movement protein [Ullucus tymovirus 2] acc=AZF99023.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__unclassified Tymovirales family;g__unclassified Tymovirales genus;s__Ullucus tymovirus 2	Kitrinoviricota
ABRP01_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABRP01127921.1_1637-2090:-	2.52e-7	32.9	Overlapping protein/movement protein [Kennedya yellow mosaic virus] acc=NP_044327.1 	Overlapping protein/movement protein [Kennedya yellow mosaic virus] acc=NP_044327.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus kennedyae	Kitrinoviricota
ABRP01_EVE010	high	100	viral (2)	VDB (2)	ABRP01136541.1_1842-2126:+	1.68e-6	37.5	polyprotein [Hepeviridae] acc=AGO64925.1 	polyprotein [Hepeviridae] acc=AGO64925.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__unclassified Hepeviridae genus;s__Hepatitis E virus	Kitrinoviricota
ABRP01_EVE011	high	100	viral (1)	VDB (1)	ABRP01139944.1_7856-8607:+	8.66e-7	27.1	putative movement protein [Anagyris vein yellowing virus] acc=YP_002308577.1 	putative movement protein [Anagyris vein yellowing virus] acc=YP_002308577.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus anagyris	Kitrinoviricota
ABRP01_EVE012	high	100	viral (11)	VDB (11)	ABRP01151996.1_5095-5442:-	7.53e-6	100	polyprotein [Bovine viral diarrhea virus 1] acc=AAF82566.1 	polyprotein [Bovine viral diarrhea virus 1] acc=AAF82566.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
ABRP01_EVE013	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABRP01154115.1_1747-2359:-	1.87e-5	30.7	Capsid protein n=1 Tax=Sogatella furcifera hepe-like virus  RepID=A0A2R4KMX5_9VIRU	Capsid protein n=1 Tax=Sogatella furcifera hepe-like virus  RepID=A0A2R4KMX5_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__unclassified Hepeviridae genus;s__Sogatella furcifera hepe-like virus	Kitrinoviricota
ABRP01_EVE014	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABRP01155344.1_7030-7786:+	1.06e-5	31.6	Movement protein n=4 Tax=Switchgrass mosaic virus  RepID=F5CJX8_9VIRU	Movement protein n=4 Tax=Switchgrass mosaic virus  RepID=F5CJX8_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
ABRP01_EVE015	high	100	viral (20)	VDB (16), UDB Viruses (4)	ABRP01157241.1_13665-13950:-	2.2700000000000002e-26	53.3	Rep n=91 Tax=Parvoviridae  RepID=A0A6H1XL76_9VIRU	Rep n=91 Tax=Parvoviridae  RepID=A0A6H1XL76_9VIRU	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__unclassified Parvoviridae species	Cossaviricota
ABRP01_EVE016	high	100	viral (2)	VDB (2)	ABRP01161377.1_6833-7067:+	6.41e-8	42.2	protein F [Hepacivirus hominis] acc=QEG98362.1 	protein F [Hepacivirus hominis] acc=QEG98362.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Hepacivirus;s__Hepacivirus hominis	Kitrinoviricota
ABRP01_EVE017	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABRP01161625.1_5640-6566:+	3.39e-7	28.8	Movement protein n=4 Tax=Switchgrass mosaic virus  RepID=F5CJX8_9VIRU	Movement protein n=4 Tax=Switchgrass mosaic virus  RepID=F5CJX8_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
ABRP01_EVE018	high	100	viral (1)	VDB (1)	ABRP01164173.1_201-598:+	8.76e-7	32.2	E2 [Equus caballus papillomavirus 4] acc=YP_007349392.1 	E2 [Equus caballus papillomavirus 4] acc=YP_007349392.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Dyoiotapapillomavirus;s__Dyoiotapapillomavirus 2	Cossaviricota
ABRP01_EVE019	high	100	viral (2)	VDB (2)	ABRP01177898.1_459-743:-	1.68e-6	37.5	polyprotein [Hepeviridae] acc=AGO64925.1 	polyprotein [Hepeviridae] acc=AGO64925.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__unclassified Hepeviridae genus;s__Hepatitis E virus	Kitrinoviricota
