ID	Scaffold	Start	End	Len	q_seq_id	Num_total_hit	Num_viral_hit	Fraction_viral_hit	Bestviral_Protein	Virus_name	BestviralEval	Num_subj_same_bestViralEval	Bestviral_frame	Bestviral_percid	Bestviral_qcov	Bestviral_start	Bestviral_end	Bestviral_slen	Bestviral_taxid	Bestviral_accession	BestSubj	BestEval	Num_subj_same_bestEval	Sel_BestSubj	Sel_BestEval	Sel_Num_subj_same_bestEval	NIRVSmerged
NIRVS_18	APCH01007529.1	5609	5716	107	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_APCH01007529.1_5716_5609(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	KAG5682724.1_hypothetical protein PVAND_012057 [Polypedilum vanderplanki]:12-46	7.6e-11	6	ABG81495.1_ubiquitin [Mayetiola destructor]:13-47	7.6e-11	1	yes
NIRVS_6	APCH01001284.1	155823	156221	398	AAD44037.1_acc|GENBANK|AAD44037.1|GENBANK|AF104020|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_APCH01001284.1_156003_156221(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_052897899.1_ubiquitin-40S ribosomal protein S27a isoform X1 [Anopheles moucheti]:54-127	3.8e-31	2	XP_052897899.1_ubiquitin-40S ribosomal protein S27a isoform X1 [Anopheles moucheti]:54-127	3.8e-31	1	yes
NIRVS_17	APCH01007529.1	5071	5229	158	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_APCH01007529.1_5229_5071(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_040173738.1_small ubiquitin-related modifier 2-like [Anopheles arabiensis] >XP_040229269.1 small ubiquitin-related modifier 2-like [Anopheles coluzzii] >XP_041771386.1 small ubiquitin-related modifier 2-like [Anopheles merus] >XP_316822.4 small ubiquitin-related modifier 2 [Anopheles gambiae] >EAA12088.5 AGAP000852-PA [Anopheles gambiae str. PEST]:37-87	6.4e-14	4	XP_053667609.1_small ubiquitin-related modifier 3-like [Anopheles marshallii]:37-87	6.4e-14	3	yes
NIRVS_3	APCH01000739.1	14821	15213	392	UHK03328.1_acc|GENBANK|UHK03328.1|GENBANK|MZ209659|polyprotein_[Hangzhou_frankliniella_intonsa_flavivirus_2]_taxid=2905438_APCH01000739.1_14866_15213(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_040157627.1_ADP-ribose glycohydrolase OARD1-like [Anopheles arabiensis]:45-174	8.6e-68	1	XP_040157627.1_ADP-ribose glycohydrolase OARD1-like [Anopheles arabiensis]:45-174	8.6e-68	1	yes
NIRVS_12	APCH01001552.1	15516	16538	1022	AHM88397.1_acc|GENBANK|AHM88397.1|NEIGHBOR|KJ463423|polyprotein_[Border_disease_virus]_taxid=358764_APCH01001552.1_16505_15516(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_040234024.2_putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles coluzzii] >XP_061518278.1 putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles gambiae]:102-441	2.8e-190	4	XP_040234024.2_putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles coluzzii] >XP_061518278.1 putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles gambiae]:102-441	2.8e-190	3	yes
NIRVS_15	APCH01002822.1	207444	207614	170	AAF82566.1_acc|GENBANK|AAF82566.1|NEIGHBOR|AF268278|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_APCH01002822.1_207444_207614(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_053680463.1_uncharacterized protein LOC128731373 [Anopheles nili]:933-988	1.7e-25	6	XP_052897672.1_transcription factor 20 [Anopheles moucheti]:941-996	5.1e-25	1	yes
NIRVS_14	APCH01002822.1	207265	207378	113	AAF82566.1_acc|GENBANK|AAF82566.1|NEIGHBOR|AF268278|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_APCH01002822.1_207277_207378(+)	0	0	0	NA	NA	-1	0	.	.	.	.	.	.	.	.	NA	-1	0	NA	-1	0	yes
NIRVS_9	APCH01001456.1	33929	34405	476	AAA53067.1_acc|GENBANK|AAA53067.1|GENBANK|L13783|p125_protein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_APCH01001456.1_34405_34142(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_021268164.1_polyubiquitin-C isoform X1 [Numida meleagris]:5-158	2.9e-78	1	XP_021268164.1_polyubiquitin-C isoform X1 [Numida meleagris]:5-158	2.9e-78	1	yes
NIRVS_1	APCH01000585.1	350780	351037	257	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_APCH01000585.1_351037_350780(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_035896339.1_small ubiquitin-related modifier 2-like [Anopheles stephensi] >XP_050071660.1 small ubiquitin-related modifier 2-like [Anopheles maculipalpis]:1-85	8.5e-40	2	XP_035896339.1_small ubiquitin-related modifier 2-like [Anopheles stephensi] >XP_050071660.1 small ubiquitin-related modifier 2-like [Anopheles maculipalpis]:1-85	8.5e-40	1	yes
NIRVS_4	APCH01000740.1	14260	14355	95	CAJ78441.1_acc|GENBANK|CAJ78441.1|GENBANK|AM231628|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_APCH01000740.1_14263_14355(+)	0	0	0	NA	NA	-1	0	.	.	.	.	.	.	.	.	NA	-1	0	NA	-1	0	yes
