eve_id	confidence	eve_score	suggests	because	locus	start	stop	length	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AADN02_EVE003	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02022496.1_74188-74522:+	74,188	74,522	334	1.32E-28	68.5	sigma NS [Muscovy duck reovirus] acc=AGG20355.1	sigma NS [Muscovy duck reovirus] acc=AGG20355.1	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Orthoreovirus;s__Avian orthoreovirus	Duplornaviricota
AADN02_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02041871.1_6424-6793:+	6,424	6,793	369	3.45E-20	50.7	hemagglutinin [Influenza A virus (A/chicken/Iraq/KCVL-007/2015(H5N1))] acc=AMU04500.1	hemagglutinin [Influenza A virus (A/chicken/Iraq/KCVL-007/2015(H5N1))] acc=AMU04500.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Alphainfluenzavirus;s__Alphainfluenzavirus influenzae	Negarnaviricota
AADN02_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02049479.1_375-777:+	375	777	402	8.52E-05	31.6	Polyprotein n=2 Tax=Rhizoctonia solani flexivirus 1  RepID=A0A1B1HYD9_9VIRU	Polyprotein n=2 Tax=Rhizoctonia solani flexivirus 1  RepID=A0A1B1HYD9_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__unclassified Tymovirales family;g__unclassified Tymovirales genus;s__Rhizoctonia solani flexivirus 1	Kitrinoviricota
AADN02_EVE007	high	100	viral (1)	VDB (1)	AADN02053553.1_846-1709:-	846	1,709	863	1.82E-06	28.2	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus physalis	Kitrinoviricota
AADN02_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	AADN02063971.1_998-1402:+	998	1,402	404	2.94E-05	30.9	Movement protein n=4 Tax=Switchgrass mosaic virus  RepID=F5CJX8_9VIRU	Movement protein n=4 Tax=Switchgrass mosaic virus  RepID=F5CJX8_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
AADN02_EVE010	high	100	viral (1)	VDB (1)	AADN02065816.1_11-407:-	11	407	396	6.06E-07	30.1	VP6 protein [Epizootic hemorrhagic disease virus 5] acc=BDY02940.1	VP6 protein [Epizootic hemorrhagic disease virus 5] acc=BDY02940.1	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Epizootic hemorrhagic disease virus	Duplornaviricota
AADN02_EVE011	high	100	viral (1)	VDB (1)	AADN02070505.1_110-421:-	110	421	311	2.50E-06	39.6	E2 [Canis familiaris papillomavirus 15] acc=AGA15834.1	E2 [Canis familiaris papillomavirus 15] acc=AGA15834.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Chipapillomavirus;s__Chipapillomavirus 3	Cossaviricota
AADN02_EVE012	high	84	viral (12), non-viral (2)	VDB (7), endogenous (4), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02031187.1_1401-1698:-	1,401	1,698	297	3.13E-11	36.4	Protein FAM204A isoform X1 n=1 Tax=Python bivittatus  RepID=A0A9F5MS02_PYTBI	nucleoprotein [Loveridges garter snake virus 1] acc=YP_009055058.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus elapsoideae	Negarnaviricota
AADN02_EVE013	high	74	viral (3), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1)	AADN02019188.1_734-1118:+	734	1,118	384	1.40E-06	38	atherin-like n=1 Tax=Chionomys nivalis  RepID=UPI002599614E	E2 [Canis familiaris papillomavirus 19] acc=AOP12498.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Taupapillomavirus;s__Taupapillomavirus 1	Cossaviricota
AADN02_EVE014	high	71	viral (12), maybe-viral (7), non-viral (1)	VDB (6), envelope (4), polyprotein protein (4), uncharacterized protein (3), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	AADN02001644.1_9-536:-	9	536	527	1.13E-114	95.5	envelope protein [Avian leukosis virus] acc=ASM94216.1	envelope protein [Avian leukosis virus] acc=ASM94216.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
AADN02_EVE015	high	67	viral (11), maybe-viral (8), non-viral (1)	VDB (6), envelope (4), polyprotein protein (4), uncharacterized protein (4), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	AADN02068873.1_38-484:+	38	484	446	1.32E-97	97.3	envelope protein [Avian leukosis virus] acc=ASM94216.1	envelope protein [Avian leukosis virus] acc=ASM94216.1	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Retroviridae;g__Alpharetrovirus;s__Avian leukosis virus	unclassified root phylum
