eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CACM01_EVE001	high	100	viral (1)	capsid (1)	gi|323814120|emb|CACM01016119.1|_977-1449:+	1.0500000000000001e-58	64.9	Capsid protein n=1 Tax=Erysiphe neolycopersici  RepID=A0A420H6W4_9PEZI	NA	NA	Ascomycota
CACM01_EVE002	high	100	viral (20)	VDB (13), UDB Viruses (7)	gi|323819172|emb|CACM01011155.1|_2345-2695:-	6.64e-22	45	RNA-dependent RNA polymerase [Botryosphaeria dothidea tobamo-like virus] acc=QED22727.1 	RNA-dependent RNA polymerase [Botryosphaeria dothidea tobamo-like virus] acc=QED22727.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Martellivirales;f__Virgaviridae;g__unclassified Virgaviridae genus;s__Botryosphaeria dothidea tobamo-like virus	Kitrinoviricota
CACM01_EVE003	high	100	viral (18)	VDB (15), UDB Viruses (3)	gi|323819480|emb|CACM01010847.1|_1022-1863:-	8.86e-140	77.4	RNA dependent RNA polymerase [Plasmopara viticola lesion associated mononegaambi virus 3] acc=QHD64773.1 	RNA dependent RNA polymerase [Plasmopara viticola lesion associated mononegaambi virus 3] acc=QHD64773.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Penicillimonavirus;s__Penicillimonavirus gammaplasmopara	Negarnaviricota
CACM01_EVE004	high	100	viral (5)	VDB (3), UDB Viruses (2)	gi|323819836|emb|CACM01010491.1|_1-738:+	8.82e-13	23.9	RNA-dependent RNA polymerase [H2BulkLitter1223 virus] acc=QDH88671.1 	RNA-dependent RNA polymerase [H2BulkLitter1223 virus] acc=QDH88671.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__Hubramonavirus terrae	Negarnaviricota
CACM01_EVE005	high	100	viral (1)	VDB (1)	gi|323822654|emb|CACM01007673.1|_114-1372:+	1.86e-199	68.3	hypothetical protein [Downy mildew lesion associated ambivirus 3] acc=WNA22198.1 	hypothetical protein [Downy mildew lesion associated ambivirus 3] acc=WNA22198.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Downy mildew lesion associated ambivirus 3	unclassified Viruses phylum
CACM01_EVE006	high	100	viral (4)	UDB Viruses (2), VDB (2)	gi|323822728|emb|CACM01007599.1|_2057-2307:-	4.02e-36	80.9	RdRp [Plasmopara viticola lesion associated poty-like virus 1] acc=QHD64737.1 	RdRp [Plasmopara viticola lesion associated poty-like virus 1] acc=QHD64737.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__unclassified Potyviridae genus;s__Plasmopara viticola lesion associated poty-like virus 1	Duplornaviricota
CACM01_EVE007	high	100	viral (6)	UDB Viruses (3), VDB (3)	gi|323823237|emb|CACM01007090.1|_2538-3070:-	3.5700000000000003e-65	54.5	CP [Liriodendron tulipifera tymovirus 1] acc=QQG34679.1 	CP [Liriodendron tulipifera tymovirus 1] acc=QQG34679.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__unclassified Tymoviridae genus;s__Liriodendron tulipifera tymovirus 1	Kitrinoviricota
CACM01_EVE008	high	100	viral (2)	VDB (2)	gi|323823745|emb|CACM01006582.1|_1660-2136:-	3.51e-9	30.1	polyprotein [Alphaendornavirus sp.] acc=UIA10491.1 	polyprotein [Alphaendornavirus sp.] acc=UIA10491.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Martellivirales;f__Endornaviridae;g__Alphaendornavirus;s__Alphaendornavirus sp.	Kitrinoviricota
CACM01_EVE009	high	100	viral (2)	VDB (2)	gi|323824348|emb|CACM01005979.1|_7708-8415:+	9.259999999999999e-66	48.9	hypothetical protein pI [Penicillimonavirus gammaplasmopara] acc=UZO36238.1 	hypothetical protein pI [Penicillimonavirus gammaplasmopara] acc=UZO36238.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Penicillimonavirus;s__Penicillimonavirus gammaplasmopara	Negarnaviricota
CACM01_EVE010	high	100	viral (1)	VDB (1)	gi|323826345|emb|CACM01003982.1|_397-854:+	1.09e-83	83	hypothetical protein [Downy mildew lesion associated ambivirus 3] acc=WNA22198.1 	hypothetical protein [Downy mildew lesion associated ambivirus 3] acc=WNA22198.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Downy mildew lesion associated ambivirus 3	unclassified Viruses phylum
