eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ABQO01_EVE001	high	100	viral (20)	VDB (13), UDB Viruses (7)	ABQO010014799.1_37-654:+	1.11e-28	34.9	VP1 protein [Protoparvovirus sp.] acc=UPH39293.1 	VP1 protein [Protoparvovirus sp.] acc=UPH39293.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus sp.	Cossaviricota
ABQO01_EVE002	high	100	viral (1)	VDB (1)	ABQO010019797.1_456-1151:-	6.68e-6	30.5	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
ABQO01_EVE003	high	100	viral (1)	VDB (1)	ABQO010027397.1_230-489:+	1.26e-6	38.6	hypothetical protein [Belladonna mottle virus] acc=YP_009508098.1 	hypothetical protein [Belladonna mottle virus] acc=YP_009508098.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus belladonnae	Kitrinoviricota
ABQO01_EVE004	high	100	viral (20)	VDB (16), UDB Viruses (3), capsid (1)	ABQO010030268.1_4-187:-	3.2e-14	55.7	capsid protein 1 [Porcine parvovirus] acc=AFV25463.1 	capsid protein 1 [Porcine parvovirus] acc=AFV25463.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus ungulate1	Cossaviricota
ABQO01_EVE005	high	100	viral (20)	VDB (17), UDB Viruses (3)	ABQO010030268.1_614-2221:-	1.04e-99	38.8	NS1 [Bufavirus-3] acc=BAO56906.1 	NS1 [Bufavirus-3] acc=BAO56906.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Bufavirus-3	Cossaviricota
ABQO01_EVE006	high	100	viral (24)	VDB (19), UDB Viruses (5)	ABQO010031620.1_2807-3503:+	1.2099999999999999e-88	60.5	nonstructural protein 1 [Megabat bufavirus 1] acc=YP_009241376.1 	nonstructural protein 1 [Megabat bufavirus 1] acc=YP_009241376.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus chiropteran1	Cossaviricota
ABQO01_EVE007	high	100	viral (20)	VDB (15), UDB Viruses (5)	ABQO010031620.1_3887-5346:+	2.37e-77	38	VP-1 [Wuharv parvovirus 1] acc=YP_009508803.1 	VP-1 [Wuharv parvovirus 1] acc=YP_009508803.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus primate2	Cossaviricota
ABQO01_EVE008	high	100	viral (13)	VDB (11), UDB Viruses (2)	ABQO010042566.1_36-501:-	1.95e-8	32.1	VP35 [Sudan ebolavirus] acc=ALL26373.1 	VP35 [Sudan ebolavirus] acc=ALL26373.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus sudanense	Negarnaviricota
ABQO01_EVE009	high	100	viral (21)	VDB (13), UDB Viruses (7), endogenous (1)	ABQO010056400.1_853-2194:-	3.11e-69	41.7	L polymerase [Loveridges garter snake virus 1] acc=YP_009055063.1 	L polymerase [Loveridges garter snake virus 1] acc=YP_009055063.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus elapsoideae	Negarnaviricota
ABQO01_EVE010	high	100	viral (2)	VDB (2)	ABQO010059569.1_2137-2314:-	1.5e-8	61	replication protein [Dependoparvovirus sp.] acc=QKN88755.1 	replication protein [Dependoparvovirus sp.] acc=QKN88755.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus sp.	Cossaviricota
