eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ACYX01_EVE001	high	100	viral (2)	UDB Viruses (1), VDB (1)	ACYX01205356.1_90-293:+	5.57e-6	37.5	Protein ORF3 (Fragment) n=13 Tax=Hepatitis E virus  RepID=A0A109P8G3_HEV	Protein ORF3 (Fragment) n=13 Tax=Hepatitis E virus  RepID=A0A109P8G3_HEV	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__Paslahepevirus;s__Paslahepevirus balayani	Kitrinoviricota
ACYX01_EVE002	high	91	viral (19), maybe-viral (1), non-viral (1)	VDB (9), UDB Viruses (8), coat (2), annotated protein of Eukaryota (1), uncharacterized protein (1)	ACYX01071982.1_691-1363:+	8.29e-61	50	Coat protein 2 n=1 Tax=Allium deltapartitivirus  RepID=A0AAE9P757_9VIRU	Coat protein 2 n=1 Tax=Allium deltapartitivirus  RepID=A0AAE9P757_9VIRU	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__Deltapartitivirus;s__Allium deltapartitivirus	Pisuviricota
ACYX01_EVE003	high	90	viral (21), maybe-viral (3)	VDB (19), uncharacterized protein (3), UDB Viruses (2)	ACYX01058470.1_94-279:+	3.19e-8	48.4	RNA-dependent RNA polymerase [Plasmopara viticola lesion associated mitovirus 26] acc=QIR30249.1 	RNA-dependent RNA polymerase [Plasmopara viticola lesion associated mitovirus 26] acc=QIR30249.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__Mitovirus;s__Plasmopara viticola lesion associated mitovirus 26	Lenarviricota
ACYX01_EVE004	high	72	viral (4), maybe-viral (2)	VDB (3), uncharacterized protein (2), UDB Viruses (1)	ACYX01128786.1_1418-1588:+	2.21e-7	55.6	Uncharacterized protein n=1 Tax=Coptis chinensis  RepID=A0A835GTL3_9MAGN	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMA5_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
ACYX01_EVE005	high	53	viral (10), maybe-viral (7), non-viral (5)	uncharacterized protein (7), VDB (7), annotated protein of Eukaryota (4), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	ACYX01004863.1_5496-5949:+	2.4899999999999996e-37	53.6	Uncharacterized protein n=1 Tax=Coptis chinensis  RepID=A0A835GTL3_9MAGN	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMA5_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Streptophyta
ACYX01_EVE006	high	53	maybe-viral (10), viral (9), non-viral (2)	uncharacterized protein (10), VDB (5), UDB Viruses (4), annotated protein of Eukaryota (2)	ACYX01022499.1_2712-2837:+	9.04e-10	70.3	Uncharacterized protein n=1 Tax=Ficus carica  RepID=A0AA87YQW9_FICCA	RNA-dependent RNA polymerase [Paris mitovirus 1] acc=QVU28731.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__Mitovirus;s__Paris mitovirus 1	Streptophyta
ACYX01_EVE007	high	52	viral (10), non-viral (7), maybe-viral (3)	annotated protein of Eukaryota (6), VDB (6), UDB Viruses (4), uncharacterized protein (2), annotated protein of unclassified root superkingdom (1), hypothetical protein (1)	ACYX01017462.1_817-1241:-	9.33e-21	40	RNA-dependent RNA polymerase n=1 Tax=Cinnamomum micranthum f. kanehirae  RepID=A0A443Q4H6_9MAGN	RNA-dependent RNA polymerase n=1 Tax=Ambrosia artemisiifolia mitovirus 1  RepID=A0A2Z6JJ37_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__Mitovirus;s__Ambrosia artemisiifolia mitovirus 1	Lenarviricota
ACYX01_EVE008	high	45	maybe-viral (8), viral (7), non-viral (5)	uncharacterized protein (7), annotated protein of Eukaryota (5), VDB (5), UDB Viruses (2), hypothetical protein (1)	ACYX01004863.1_5192-5486:+	2.6e-18	54.5	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMA5_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMA5_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Streptophyta
ACYX01_EVE009	high	35	maybe-viral (4), viral (1)	uncharacterized protein (4), VDB (1)	ACYX01127755.1_411-990:-	1.39e-5	33.5	Uncharacterized protein n=1 Tax=Penaeus vannamei  RepID=A0A3R7PBX3_PENVA	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Arthropoda
ACYX01_EVE010	high	35	maybe-viral (11), non-viral (5), viral (5)	uncharacterized protein (10), annotated protein of Eukaryota (5), UDB Viruses (3), VDB (2), hypothetical protein (1)	ACYX01211899.1_6-110:-	2.34e-8	74.3	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMA5_9VIRU	Putative RNA-dependent RNA polymerase (Fragment) n=1 Tax=Mitoviridae sp.  RepID=A0A8T9KMA5_9VIRU	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Streptophyta
