eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ABXC01_EVE001	high	88	viral (13), maybe-viral (1), non-viral (1)	VDB (6), UDB Viruses (5), coat (2), annotated protein of Eukaryota (1), uncharacterized protein (1)	ABXC01001628.1_27795-28567:-	2.55e-97	56.6	putative CP [Alloteropsis cryptic virus 2] acc=QRG29180.1 	putative CP [Alloteropsis cryptic virus 2] acc=QRG29180.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Alloteropsis cryptic virus 2	Pisuviricota
ABXC01_EVE002	high	62	viral (3), maybe-viral (1), non-viral (1)	VDB (2), annotated protein of Eukaryota (1), UDB Viruses (1), uncharacterized protein (1)	ABXC01002684.1_96065-96528:-	6.61e-8	41.1	spidroin-1-like n=1 Tax=Sorghum bicolor  RepID=UPI000B423E81	Putative movement protein n=1 Tax=Okra mosaic virus  RepID=A5JPL2_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus abelmoschi	Kitrinoviricota
ABXC01_EVE003	high	53	non-viral (2), viral (2)	annotated protein of Bacteria (2), UDB Viruses (1), VDB (1)	ABXC01005045.1_210852-211380:-	6.39e-7	29.1	Regulatory protein E2 n=1 Tax=Peromyscus papillomavirus 1  RepID=G1C9I6_9PAPI	Regulatory protein E2 n=1 Tax=Peromyscus papillomavirus 1  RepID=G1C9I6_9PAPI	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Iotapapillomavirus;s__Iotapapillomavirus 2	Actinomycetota
ABXC01_EVE004	high	44	maybe-viral (3), viral (2), non-viral (1)	uncharacterized protein (3), annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	ABXC01004524.1_188970-189567:-	3.55e-8	29.3	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1 	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus physalis	Kitrinoviricota
ABXC01_EVE005	high	41	maybe-viral (14), viral (6), retro (1)	uncharacterized protein (13), VDB (6), polyprotein protein (1), transposase (1)	ABXC01005951.1_152295-152663:+	2.3e-61	77.2	transposase family protein n=2 Tax=Gammaproteobacteria  RepID=UPI002FBDCC4B	polyprotein [Zea mays] acc=ABQ44355.1 	NA	Streptophyta
ABXC01_EVE006	high	40	non-viral (3), viral (2)	annotated protein of Eukaryota (2), annotated protein of Bacteria (1), UDB Viruses (1), VDB (1)	ABXC01002597.1_65708-66370:-	1.56e-5	35.3	Beta-lactamase class C and other penicillin binding proteins (Fragment) n=1 Tax=uncultured Solirubrobacteraceae bacterium  RepID=A0A6J4RY59_9ACTN	Putative movement protein (Fragment) n=1 Tax=Grapevine asteroid mosaic associated virus  RepID=A0A2Z2CDU5_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Marafivirus asteroides	Kitrinoviricota
ABXC01_EVE007	high	39	maybe-viral (14), viral (5), non-viral (1)	uncharacterized protein (13), VDB (5), annotated protein of unclassified cellular organisms superkingdom (1), polyprotein protein (1)	ABXC01000751.1_17170-17688:+	6.69e-90	75.7	uncharacterized protein LOC120667892 n=1 Tax=Panicum virgatum  RepID=UPI0019D5A845	polyprotein [Zea mays] acc=ABQ44355.1 	NA	Streptophyta
ABXC01_EVE008	high	39	maybe-viral (14), viral (5), non-viral (1)	uncharacterized protein (13), VDB (5), annotated protein of unclassified cellular organisms superkingdom (1), polyprotein protein (1)	ABXC01003269.1_88539-89057:+	1.88e-89	75.1	uncharacterized protein LOC120667892 n=1 Tax=Panicum virgatum  RepID=UPI0019D5A845	polyprotein [Zea mays] acc=ABQ44355.1 	NA	Streptophyta
ABXC01_EVE009	high	39	maybe-viral (14), viral (5), non-viral (1)	uncharacterized protein (13), VDB (5), annotated protein of unclassified cellular organisms superkingdom (1), polyprotein protein (1)	ABXC01010911.1_2810-3328:+	1.88e-89	75.1	uncharacterized protein LOC120667892 n=1 Tax=Panicum virgatum  RepID=UPI0019D5A845	polyprotein [Zea mays] acc=ABQ44355.1 	NA	Streptophyta
ABXC01_EVE010	high	38	maybe-viral (13), viral (5), non-viral (1), retro (1)	uncharacterized protein (11), VDB (5), polyprotein protein (2), annotated protein of Eukaryota (1), transposase (1)	ABXC01000331.1_132126-132602:+	1.39e-70	75.7	transposase family protein n=2 Tax=Gammaproteobacteria  RepID=UPI002FBDCC4B	polyprotein [Zea mays] acc=ABQ44355.1 	NA	Streptophyta
