eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CACN01_EVE001	high	100	viral (20)	VDB (13), UDB Viruses (7)	gi|323839696|emb|CACN01018316.1|_166-525:+	7.43e-22	42.1	RNA-dependent RNA polymerase [Macrophomina phaseolina tobamo-like virus 2] acc=QOE55598.1 	RNA-dependent RNA polymerase [Macrophomina phaseolina tobamo-like virus 2] acc=QOE55598.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Martellivirales;f__Virgaviridae;g__Tobamovirus;s__Macrophomina phaseolina tobamo-like virus 2	Kitrinoviricota
CACN01_EVE002	high	100	viral (2)	VDB (2)	gi|323844874|emb|CACN01015862.1|_291-596:-	1.14e-7	35.5	polyprotein [Alphaendornavirus sp.] acc=UIA10484.1 	polyprotein [Alphaendornavirus sp.] acc=UIA10484.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Martellivirales;f__Endornaviridae;g__Alphaendornavirus;s__Alphaendornavirus sp.	Kitrinoviricota
CACN01_EVE003	high	100	viral (1)	capsid (1)	gi|323846274|emb|CACN01015162.1|_311-783:+	1.0500000000000001e-58	64.9	Capsid protein n=1 Tax=Erysiphe neolycopersici  RepID=A0A420H6W4_9PEZI	NA	NA	Ascomycota
CACN01_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	gi|323847334|emb|CACN01014629.1|_1-198:-	1.2e-17	62.1	RdRp [Plasmopara viticola lesion associated poty-like virus 1] acc=QHD64737.1 	RdRp [Plasmopara viticola lesion associated poty-like virus 1] acc=QHD64737.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Stelpaviricetes;o__Patatavirales;f__Potyviridae;g__unclassified Potyviridae genus;s__Plasmopara viticola lesion associated poty-like virus 1	Pisuviricota
CACN01_EVE005	high	100	viral (2)	VDB (2)	gi|323848740|emb|CACN01013936.1|_221-436:-	6.03e-18	54.2	hypothetical protein pIII [Penicillimonavirus gammaplasmopara] acc=UZO36235.1 	hypothetical protein pIII [Penicillimonavirus gammaplasmopara] acc=UZO36235.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Penicillimonavirus;s__Penicillimonavirus gammaplasmopara	Negarnaviricota
CACN01_EVE006	high	100	viral (2)	VDB (2)	gi|323849493|emb|CACN01013574.1|_510-1217:-	9.259999999999999e-66	48.9	hypothetical protein pI [Penicillimonavirus gammaplasmopara] acc=UZO36238.1 	hypothetical protein pI [Penicillimonavirus gammaplasmopara] acc=UZO36238.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Penicillimonavirus;s__Penicillimonavirus gammaplasmopara	Negarnaviricota
CACN01_EVE007	high	100	viral (1)	VDB (1)	gi|323849901|emb|CACN01013373.1|_326-945:-	1.24e-86	67.1	hypothetical protein [Downy mildew lesion associated ambivirus 3] acc=WNA22198.1 	hypothetical protein [Downy mildew lesion associated ambivirus 3] acc=WNA22198.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Downy mildew lesion associated ambivirus 3	unclassified Viruses phylum
CACN01_EVE008	high	100	viral (1)	VDB (1)	gi|323851622|emb|CACN01012574.1|_324-781:+	1.09e-83	83	hypothetical protein [Downy mildew lesion associated ambivirus 3] acc=WNA22198.1 	hypothetical protein [Downy mildew lesion associated ambivirus 3] acc=WNA22198.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Downy mildew lesion associated ambivirus 3	unclassified Viruses phylum
CACN01_EVE009	high	100	viral (5)	VDB (3), UDB Viruses (2)	gi|323853306|emb|CACN01011748.1|_761-1498:-	8.82e-13	23.9	RNA-dependent RNA polymerase [H2BulkLitter1223 virus] acc=QDH88671.1 	RNA-dependent RNA polymerase [H2BulkLitter1223 virus] acc=QDH88671.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Mymonaviridae;g__Hubramonavirus;s__Hubramonavirus terrae	Negarnaviricota
CACN01_EVE010	high	100	viral (2)	VDB (2)	gi|323858061|emb|CACN01009238.1|_5-349:-	3.13e-9	32.8	polyprotein [Alphaendornavirus sp.] acc=UIA10491.1 	polyprotein [Alphaendornavirus sp.] acc=UIA10491.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Martellivirales;f__Endornaviridae;g__Alphaendornavirus;s__Alphaendornavirus sp.	Kitrinoviricota
