ID	Scaffold	Start	End	Len	q_seq_id	Num_total_hit	Num_viral_hit	Fraction_viral_hit	Bestviral_Protein	Virus_name	BestviralEval	Num_subj_same_bestViralEval	Bestviral_frame	Bestviral_percid	Bestviral_qcov	Bestviral_start	Bestviral_end	Bestviral_slen	Bestviral_taxid	Bestviral_accession	BestSubj	BestEval	Num_subj_same_bestEval	Sel_BestSubj	Sel_BestEval	Sel_Num_subj_same_bestEval	NIRVSmerged
NIRVS_16	ATLZ01041025.1	1	165	164	AAD44037.1_acc|GENBANK|AAD44037.1|GENBANK|AF104020|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_ATLZ01041025.1_165_1(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_029030330.1_polyubiquitin-B [Betta splendens]:38-89	3.8e-17	1	XP_029030330.1_polyubiquitin-B [Betta splendens]:38-89	3.8e-17	1	yes
NIRVS_7	ATLZ01013941.1	376	636	260	AAM77034.1_acc|GENBANK|AAM77034.1|GENBANK|AY117145|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_ATLZ01013941.1_376_636(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	KFB52737.1_hypothetical protein ZHAS_00020999 [Anopheles sinensis]:32-117	2e-41	4	XP_058129572.1_gamma-aminobutyric acid receptor-associated protein [Anopheles coustani] >XP_058174325.1 gamma-aminobutyric acid receptor-associated protein [Anopheles ziemanni]:32-117	2e-41	3	yes
NIRVS_8	ATLZ01014994.1	54	686	632	AHM88397.1_acc|GENBANK|AHM88397.1|NEIGHBOR|KJ463423|polyprotein_[Border_disease_virus]_taxid=358764_ATLZ01014994.1_66_686(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_053675879.1_ATP-dependent DNA/RNA helicase DHX36-like [Anopheles nili]:261-470	2.5e-109	1	XP_053675879.1_ATP-dependent DNA/RNA helicase DHX36-like [Anopheles nili]:261-470	2.5e-109	1	yes
NIRVS_14	ATLZ01029285.1	1	1002	1001	ATP66855.1_acc|GENBANK|ATP66855.1|GENBANK|KY370100|polyprotein_[Rodent_pestivirus]_taxid=2050021_ATLZ01029285.1_31_963(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_053675394.1_pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 [Anopheles nili]:483-815	3.1e-186	1	XP_053675394.1_pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 [Anopheles nili]:483-815	3.1e-186	1	yes
NIRVS_1	ATLZ01001475.1	171	584	413	YP_009109558.1_acc|REFSEQ|YP_009109558.1|REFSEQ|NC_025673|polyprotein_[Norway_rat_hepacivirus_2]_taxid=1562039_ATLZ01001475.1_171_584(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_053672367.1_ATP-dependent RNA helicase DHX33 [Anopheles nili]:56-192	3.1e-68	1	XP_053672367.1_ATP-dependent RNA helicase DHX33 [Anopheles nili]:56-192	3.1e-68	1	yes
NIRVS_5	ATLZ01011141.1	2698	3738	1040	NP_620053.1_acc|REFSEQ|NP_620053.1|REFSEQ|NC_003678|polyprotein_[Pestivirus_giraffe-1_H138]_taxid=119222_ATLZ01011141.1_3738_2698(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_053681351.1_probable ATP-dependent RNA helicase DHX34 [Anopheles nili]:195-540	1.9e-194	1	XP_053681351.1_probable ATP-dependent RNA helicase DHX34 [Anopheles nili]:195-540	1.9e-194	1	yes
NIRVS_10	ATLZ01020890.1	1139	1261	122	CAJ78440.1_acc|GENBANK|CAJ78440.1|GENBANK|AM231627|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_ATLZ01020890.1_1216_1139(-)	0	0	0	NA	NA	-1	0	.	.	.	.	.	.	.	.	NA	-1	0	NA	-1	0	yes
NIRVS_13	ATLZ01026977.1	28	366	338	AAD44037.1_acc|GENBANK|AAD44037.1|GENBANK|AF104020|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_ATLZ01026977.1_213_28(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_053675362.1_E3 ubiquitin-protein ligase parkin [Anopheles nili]:1-85	1.2e-36	1	XP_053675362.1_E3 ubiquitin-protein ligase parkin [Anopheles nili]:1-85	1.2e-36	1	yes
NIRVS_15	ATLZ01034240.1	296	1297	1001	AFE56233.1_acc|GENBANK|AFE56233.1|NEIGHBOR|JQ268754|polyprotein_[Classical_swine_fever_virus]_taxid=11096_ATLZ01034240.1_308_1297(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_053670184.1_putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles nili]:104-436	1.2e-185	1	XP_053670184.1_putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles nili]:104-436	1.2e-185	1	yes
NIRVS_9	ATLZ01020012.1	2485	2754	269	AAG13367.1_acc|GENBANK|AAG13367.1|GENBANK|AF268174|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_ATLZ01020012.1_2712_2485(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	KAJ8387318.1_hypothetical protein AAFF_G00158140 [Aldrovandia affinis]:17-100	3.3e-34	2	KAI8508455.1_Ubiquitin-60S ribosomal protein L40 [Branchiostoma belcheri]:24-110	4.3e-34	1	yes
