eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ACYM01_EVE001	high	100	viral (10)	VDB (6), UDB Viruses (4)	ACYM01037857.1_12165-13155:-	1.0299999999999998e-107	49.7	capsid [Lysoka partiti-like virus] acc=AWV67014.1 	capsid [Lysoka partiti-like virus] acc=AWV67014.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Picobirnaviridae;g__unclassified Picobirnaviridae genus;s__Lysoka partiti-like virus	Pisuviricota
ACYM01_EVE002	high	100	viral (1)	VDB (1)	ACYM01050086.1_232-510:-	1.76e-6	35.8	movement protein [Ullucus tymovirus 1] acc=AZF99026.1 	movement protein [Ullucus tymovirus 1] acc=AZF99026.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__unclassified Tymovirales family;g__unclassified Tymovirales genus;s__Ullucus tymovirus 1	Kitrinoviricota
ACYM01_EVE003	high	100	viral (2)	UDB Viruses (1), VDB (1)	ACYM01111198.1_57-248:-	1.66e-7	34.8	minor coat protein [Arracacha latent virus C] acc=AVL25836.1 	minor coat protein [Arracacha latent virus C] acc=AVL25836.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Martellivirales;f__Closteroviridae;g__unclassified Closteroviridae genus;s__Arracacha latent virus C	Kitrinoviricota
ACYM01_EVE004	high	100	viral (10)	VDB (6), UDB Viruses (4)	ACYM01143323.1_2166-3155:+	1.55e-104	49.4	capsid [Lysoka partiti-like virus] acc=AWV67014.1 	capsid [Lysoka partiti-like virus] acc=AWV67014.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Picobirnaviridae;g__unclassified Picobirnaviridae genus;s__Lysoka partiti-like virus	Pisuviricota
ACYM01_EVE005	high	94	viral (19), non-viral (1)	VDB (15), UDB Viruses (3), annotated protein of unclassified root superkingdom (1), virus (1)	ACYM01134023.1_148-1242:+	3.4499999999999994e-130	51.1	replication associated protein [Limeum africanum associated virus] acc=YP_009465970.1 	replication associated protein [Limeum africanum associated virus] acc=YP_009465970.1 	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Repensiviricetes;o__Geplafuvirales;f__Geminiviridae;g__unclassified Geminiviridae genus;s__Limeum africanum associated virus	Cressdnaviricota
ACYM01_EVE006	high	94	viral (19), non-viral (1)	VDB (15), UDB Viruses (3), annotated protein of unclassified root superkingdom (1), virus (1)	ACYM01134026.1_1798-2945:+	6.890000000000001e-122	48	replication associated protein [Limeum africanum associated virus] acc=YP_009465970.1 	replication associated protein [Limeum africanum associated virus] acc=YP_009465970.1 	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Repensiviricetes;o__Geplafuvirales;f__Geminiviridae;g__unclassified Geminiviridae genus;s__Limeum africanum associated virus	Cressdnaviricota
ACYM01_EVE007	high	90	viral (18), maybe-viral (1), non-viral (1)	VDB (11), UDB Viruses (6), annotated protein of Eukaryota (1), coat (1), uncharacterized protein (1)	ACYM01086781.1_700-1208:+	1.72e-39	42.5	Coat protein (Fragment) n=5 Tax=root  RepID=A0A5B7BR28_DAVIN	putative coat protein [Dichroa partitivirus 2] acc=WAK97195.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Dichroa partitivirus 2	Pisuviricota
ACYM01_EVE008	high	90	viral (18), maybe-viral (1), non-viral (1)	VDB (11), UDB Viruses (6), annotated protein of Eukaryota (1), coat (1), uncharacterized protein (1)	ACYM01134022.1_12093-12601:-	1.81e-38	42	Coat protein (Fragment) n=5 Tax=root  RepID=A0A5B7BR28_DAVIN	putative coat protein [Dichroa partitivirus 2] acc=WAK97195.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Dichroa partitivirus 2	Pisuviricota
ACYM01_EVE009	high	86	viral (17), maybe-viral (2), non-viral (1)	VDB (10), UDB Viruses (5), coat (2), uncharacterized protein (2), annotated protein of Eukaryota (1)	ACYM01118643.1_17931-18309:+	3.7499999999999996e-30	56.6	Coat protein (Fragment) n=5 Tax=root  RepID=A0A5B7BR28_DAVIN	coat protein [Vitis cryptic virus] acc=BDX29427.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Vitis cryptic virus	Pisuviricota
ACYM01_EVE010	high	85	viral (9), maybe-viral (2)	VDB (7), UDB Viruses (2), uncharacterized protein (2)	ACYM01095507.1_4023-4190:+	3.78e-7	49.1	Uncharacterized protein n=1 Tax=Coptis chinensis  RepID=A0A835LGP8_9MAGN	putative RNA-dependent RNA polymerase [Mitoviridae sp.] acc=UJQ92482.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
