eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AAGU03_EVE001	high	100	viral (8)	VDB (8)	AAGU03007404.1_63719-64077:-	3.89e-5	94.7	polyprotein [Bovine viral diarrhea virus 1] acc=AAF82566.1 	polyprotein [Bovine viral diarrhea virus 1] acc=AAF82566.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
AAGU03_EVE002	high	100	viral (1)	VDB (1)	AAGU03048063.1_9324-10265:-	1.27e-6	31.3	movement protein [Watercress white vein virus] acc=AFC95825.1 	movement protein [Watercress white vein virus] acc=AFC95825.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Watercress white vein virus	Kitrinoviricota
AAGU03_EVE003	high	100	viral (1)	VDB (1)	AAGU03063209.1_1517-1948:+	1.2e-6	30	p43 [Maize rayado fino virus] acc=AIY22518.1 	p43 [Maize rayado fino virus] acc=AIY22518.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Marafivirus maydis	Kitrinoviricota
AAGU03_EVE004	high	100	viral (1)	VDB (1)	AAGU03064624.1_1406-1639:+	1.35e-6	35.4	hypothetical protein [Belladonna mottle virus] acc=YP_009508098.1 	hypothetical protein [Belladonna mottle virus] acc=YP_009508098.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus belladonnae	Kitrinoviricota
AAGU03_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	AAGU03076255.1_489-1128:-	2.86e-5	31.3	Regulatory protein E2 n=5 Tax=Chipapillomavirus 3  RepID=K7QH99_9PAPI	Regulatory protein E2 n=5 Tax=Chipapillomavirus 3  RepID=K7QH99_9PAPI	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Chipapillomavirus;s__Chipapillomavirus 3	Cossaviricota
AAGU03_EVE006	high	95	viral (19), non-viral (1)	VDB (16), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	AAGU03013549.1_51509-53245:+	5.429999999999999e-255	60.4	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1 	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota
AAGU03_EVE007	high	95	viral (19), non-viral (1)	endogenous (8), VDB (7), UDB Viruses (4), annotated protein of unclassified root superkingdom (1)	AAGU03023585.1_16828-17343:+	6.42e-41	44	Endogenous Bornavirus-like nucleoprotein 1-like n=1 Tax=Chrysochloris asiatica  RepID=A0A9B0T966_CHRAS	nucleoprotein [Loveridges garter snake virus 1] acc=YP_009055058.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus elapsoideae	Negarnaviricota
AAGU03_EVE008	high	95	viral (19), non-viral (1)	viral (19), annotated protein of Eukaryota (1)	AAGU03087021.1_452-598:-	4.28e-19	100	Baculoviral IAP repeat containing 7 n=8 Tax=Eutheria  RepID=G3ULG6_LOXAF	NA	NA	Chordata
AAGU03_EVE009	high	94	viral (19), non-viral (1)	endogenous (8), VDB (7), UDB Viruses (4), annotated protein of unclassified root superkingdom (1)	AAGU03043349.1_106095-107085:-	1.37e-58	37.6	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1 	nucleoprotein [Estrildid finch bornavirus 1] acc=YP_009505423.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus estrildidae	Negarnaviricota
AAGU03_EVE010	high	94	viral (12), maybe-viral (1)	VDB (6), UDB Viruses (5), endogenous (1), uncharacterized protein (1)	AAGU03054194.1_1031-1623:+	2.71e-20	35.1	RNA-directed RNA polymerase n=2 Tax=Carbovirus  RepID=A0A2K8MNE1_9MONO	RNA-directed RNA polymerase n=2 Tax=Carbovirus  RepID=A0A2K8MNE1_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Carbovirus;s__unclassified Carbovirus species	Negarnaviricota
