qseqid	sseqid	identity	length	mismatch	gaps	qstart	qend	sstart	send	evalue	bitscore	sscinames
AXCL01017469.1	UniRef50_A0A1C9U5B8	43.1	160	91	0	1	480	1163	1322	5.00E-28	132.1	UniRef50_A0A1C9U5B8 Genome polyprotein n=40 Tax=unclassified Flaviviridae TaxID=38144 RepID=A0A1C9U5B8_9FLAV
AXCK02000042.1	UniRef50_Q7PXC6	95.6	344	12	2	1	1023	182	525	9.50E-186	657.1	UniRef50_Q7PXC6 RNA helicase n=102 Tax=Pancrustacea TaxID=197562 RepID=Q7PXC6_ANOGA
AXCK02000042.1	UniRef50_B0XEL6	84.5	343	51	1	1	1023	337	679	2.60E-167	595.9	UniRef50_B0XEL6 ATP-dependent RNA helicase n=8 Tax=Culicinae TaxID=43817 RepID=B0XEL6_CULQU
AXCK02000042.1	UniRef50_A0A1J1IBQ6	72.7	341	91	1	1	1023	613	951	1.60E-148	533.5	UniRef50_A0A1J1IBQ6 RNA helicase n=10 Tax=Culicomorpha TaxID=43786 RepID=A0A1J1IBQ6_9DIPT
AXCK02000042.1	UniRef50_A0A9J6CEM4	72.7	341	92	1	1	1023	190	529	2.30E-147	529.6	UniRef50_A0A9J6CEM4 RNA helicase n=80 Tax=Endopterygota TaxID=33392 RepID=A0A9J6CEM4_POLVA
AXCK02000042.1	UniRef50_A0A336LMF3	73.6	341	83	2	1	1023	220	553	1.20E-143	517.3	UniRef50_A0A336LMF3 RNA helicase n=46 Tax=Neoptera TaxID=33340 RepID=A0A336LMF3_CULSO
ATLV01015825.1	UniRef50_Q7PXC6	95.6	344	12	2	1	1023	182	525	9.50E-186	657.1	UniRef50_Q7PXC6 RNA helicase n=102 Tax=Pancrustacea TaxID=197562 RepID=Q7PXC6_ANOGA
ATLV01015825.1	UniRef50_B0XEL6	84.5	343	51	1	1	1023	337	679	2.60E-167	595.9	UniRef50_B0XEL6 ATP-dependent RNA helicase n=8 Tax=Culicinae TaxID=43817 RepID=B0XEL6_CULQU
ATLV01015825.1	UniRef50_A0A1J1IBQ6	73	341	90	1	1	1023	613	951	4.20E-149	535.4	UniRef50_A0A1J1IBQ6 RNA helicase n=10 Tax=Culicomorpha TaxID=43786 RepID=A0A1J1IBQ6_9DIPT
ATLV01015825.1	UniRef50_A0A9J6CEM4	73	341	91	1	1	1023	190	529	6.00E-148	531.6	UniRef50_A0A9J6CEM4 RNA helicase n=80 Tax=Endopterygota TaxID=33392 RepID=A0A9J6CEM4_POLVA
ATLV01015825.1	UniRef50_A0A336LMF3	73.6	341	83	2	1	1023	220	553	9.00E-144	517.7	UniRef50_A0A336LMF3 RNA helicase n=46 Tax=Neoptera TaxID=33340 RepID=A0A336LMF3_CULSO
ATLZ01011141.1	UniRef50_Q7PXC6	96.3	328	11	1	1	984	199	525	3.90E-176	625.2	UniRef50_Q7PXC6 RNA helicase n=102 Tax=Pancrustacea TaxID=197562 RepID=Q7PXC6_ANOGA
ATLZ01011141.1	UniRef50_B0XEL6	84.1	328	50	1	1	984	354	679	8.90E-157	560.8	UniRef50_B0XEL6 ATP-dependent RNA helicase n=8 Tax=Culicinae TaxID=43817 RepID=B0XEL6_CULQU
ATLZ01011141.1	UniRef50_A0A1J1IBQ6	72	328	86	1	1	984	630	951	3.20E-138	499.2	UniRef50_A0A1J1IBQ6 RNA helicase n=10 Tax=Culicomorpha TaxID=43786 RepID=A0A1J1IBQ6_9DIPT
ATLZ01011141.1	UniRef50_A0A9J6CEM4	71.3	328	89	1	1	984	207	529	4.60E-137	495.4	UniRef50_A0A9J6CEM4 RNA helicase n=80 Tax=Endopterygota TaxID=33392 RepID=A0A9J6CEM4_POLVA
ATLZ01011141.1	UniRef50_A0A336LMF3	72	328	81	2	1	984	237	553	1.50E-132	480.3	UniRef50_A0A336LMF3 RNA helicase n=46 Tax=Neoptera TaxID=33340 RepID=A0A336LMF3_CULSO
APCI01006471.1	UniRef50_Q5TR49	82	410	25	3	2	1224	12	373	2.30E-178	632.9	UniRef50_Q5TR49 RNA helicase n=38 Tax=Culicidae TaxID=7157 RepID=Q5TR49_ANOGA
APCI01006471.1	UniRef50_A0A182NJU4	79.7	408	34	3	8	1224	17	376	1.20E-174	620.5	UniRef50_A0A182NJU4 RNA helicase n=2 Tax=Cellia TaxID=44534 RepID=A0A182NJU4_9DIPT
APCI01006471.1	UniRef50_A0A182SVD7	89.1	331	13	1	232	1224	1	308	6.10E-163	581.6	UniRef50_A0A182SVD7 RNA helicase n=1 Tax=Anopheles maculatus TaxID=74869 RepID=A0A182SVD7_9DIPT
APCI01006471.1	UniRef50_B0WBG0	57.1	359	130	3	151	1224	42	377	8.60E-109	401.7	UniRef50_B0WBG0 RNA helicase n=14 Tax=Culicinae TaxID=43817 RepID=B0WBG0_CULQU
APCI01006471.1	UniRef50_A0A9Q0N9W1	52.3	396	140	5	47	1224	56	404	1.60E-99	370.9	UniRef50_A0A9Q0N9W1 RNA helicase n=10 Tax=Neoptera TaxID=33340 RepID=A0A9Q0N9W1_9DIPT
APHL01005937.1	UniRef50_A0A1C9U5I9	93.5	659	43	0	1	1977	891	1549	0.00E+00	1266.9	UniRef50_A0A1C9U5I9 Genome polyprotein (Fragment) n=3 Tax=unclassified Flaviviridae TaxID=38144 RepID=A0A1C9U5I9_9FLAV
APHL01005937.1	UniRef50_A0A1Q2XC00	100	627	0	0	106	1986	1	627	0.00E+00	1263.1	UniRef50_A0A1Q2XC00 NS4A/B and NS5-like protein (Fragment) n=1 Tax=Anopheles minimus TaxID=112268 RepID=A0A1Q2XC00_9DIPT
APHL01005937.1	UniRef50_A0A1C9U5B8	88.5	659	76	0	1	1977	2102	2760	0.00E+00	1209.9	UniRef50_A0A1C9U5B8 Genome polyprotein n=40 Tax=unclassified Flaviviridae TaxID=38144 RepID=A0A1C9U5B8_9FLAV
APHL01005937.1	UniRef50_A0A7G3LBI9	38.6	669	396	8	10	1977	2119	2785	1.40E-124	454.9	UniRef50_A0A7G3LBI9 Genome polyprotein n=306 Tax=Flaviviridae TaxID=11050 RepID=A0A7G3LBI9_9FLAV
APHL01005937.1	UniRef50_A0A142KWE1	41	603	348	3	187	1977	2237	2837	2.30E-119	437.6	UniRef50_A0A142KWE1 Genome polyprotein n=4 Tax=Riboviria TaxID=2559587 RepID=A0A142KWE1_9FLAV
ATLV01019207.1	UniRef50_A0A1C9U5I9	54.8	221	85	4	97	738	480	692	9.40E-58	231.5	UniRef50_A0A1C9U5I9 Genome polyprotein (Fragment) n=3 Tax=unclassified Flaviviridae TaxID=38144 RepID=A0A1C9U5I9_9FLAV
ATLV01019207.1	UniRef50_A0A1C9U5B8	56.1	221	82	4	97	738	1691	1903	1.60E-57	230.7	UniRef50_A0A1C9U5B8 Genome polyprotein n=40 Tax=unclassified Flaviviridae TaxID=38144 RepID=A0A1C9U5B8_9FLAV
ATLV01019207.1	UniRef50_UPI0022EC1888	50.2	219	91	6	100	726	290	500	1.20E-41	177.9	UniRef50_UPI0022EC1888 uncharacterized protein LOC128276428 n=1 Tax=Anopheles cruzii TaxID=68878 RepID=UPI0022EC1888
ATLV01019207.1	UniRef50_A0A7G3LBI9	43.9	212	102	6	100	711	1707	1909	8.90E-32	145.2	UniRef50_A0A7G3LBI9 Genome polyprotein n=306 Tax=Flaviviridae TaxID=11050 RepID=A0A7G3LBI9_9FLAV
ATLV01019207.1	UniRef50_A0A6S6PE15	40.4	230	112	8	94	738	1865	2084	9.80E-31	141.7	UniRef50_A0A6S6PE15 Genome polyprotein n=1 Tax=Mansonia flavivirus TaxID=2751816 RepID=A0A6S6PE15_9FLAV
AXCK02024744.1	UniRef50_A0A1C9U5I9	54.4	228	89	4	67	729	473	692	1.20E-58	234.6	UniRef50_A0A1C9U5I9 Genome polyprotein (Fragment) n=3 Tax=unclassified Flaviviridae TaxID=38144 RepID=A0A1C9U5I9_9FLAV
AXCK02024744.1	UniRef50_A0A1C9U5B8	55.7	228	86	4	67	729	1684	1903	2.00E-58	233.8	UniRef50_A0A1C9U5B8 Genome polyprotein n=40 Tax=unclassified Flaviviridae TaxID=38144 RepID=A0A1C9U5B8_9FLAV
AXCK02024744.1	UniRef50_UPI0022EC1888	49.6	226	98	5	67	717	282	500	1.10E-43	184.9	UniRef50_UPI0022EC1888 uncharacterized protein LOC128276428 n=1 Tax=Anopheles cruzii TaxID=68878 RepID=UPI0022EC1888
AXCK02024744.1	UniRef50_A0A7G3LBI9	44.3	212	101	6	91	702	1707	1909	3.20E-32	146.7	UniRef50_A0A7G3LBI9 Genome polyprotein n=306 Tax=Flaviviridae TaxID=11050 RepID=A0A7G3LBI9_9FLAV
AXCK02024744.1	UniRef50_A0A0M4CTV9	42.4	231	111	8	91	743	1765	1985	3.60E-31	143.3	UniRef50_A0A0M4CTV9 Genome polyprotein n=62 Tax=Flaviviridae TaxID=11050 RepID=A0A0M4CTV9_9FLAV
AAAB01008964.1	UniRef50_Q9VY54	88.1	311	37	0	1	933	559	869	3.60E-155	555.4	UniRef50_Q9VY54 RNA helicase n=290 Tax=Eumetazoa TaxID=6072 RepID=Q9VY54_DROME
AAAB01008964.1	UniRef50_L7MEK8	85.2	311	46	0	1	933	550	860	1.40E-151	543.5	UniRef50_L7MEK8 RNA helicase (Fragment) n=39 Tax=Bilateria TaxID=33213 RepID=L7MEK8_RHIPC
AAAB01008964.1	UniRef50_N6TN26	85.1	322	37	1	1	933	156	477	5.30E-151	541.6	UniRef50_N6TN26 RNA helicase (Fragment) n=3 Tax=Protostomia TaxID=33317 RepID=N6TN26_DENPD
AAAB01008964.1	UniRef50_A0A6H5G623	87.1	311	40	0	1	933	786	1096	6.90E-151	541.2	UniRef50_A0A6H5G623 RNA helicase n=1 Tax=Nesidiocoris tenuis TaxID=355587 RepID=A0A6H5G623_9HEMI
AAAB01008964.1	UniRef50_V4B2P9	80.4	311	61	0	1	933	192	502	6.30E-144	518.1	UniRef50_V4B2P9 RNA helicase n=3 Tax=Eukaryota TaxID=2759 RepID=V4B2P9_LOTGI
APCI01007358.1	UniRef50_Q9VY54	88.4	311	36	0	1	933	559	869	1.20E-155	557	UniRef50_Q9VY54 RNA helicase n=290 Tax=Eumetazoa TaxID=6072 RepID=Q9VY54_DROME
APCI01007358.1	UniRef50_L7MEK8	85.5	311	45	0	1	933	550	860	6.30E-152	544.7	UniRef50_L7MEK8 RNA helicase (Fragment) n=39 Tax=Bilateria TaxID=33213 RepID=L7MEK8_RHIPC
APCI01007358.1	UniRef50_A0A6H5G623	86.8	311	41	0	1	933	786	1096	2.00E-150	539.7	UniRef50_A0A6H5G623 RNA helicase n=1 Tax=Nesidiocoris tenuis TaxID=355587 RepID=A0A6H5G623_9HEMI
APCI01007358.1	UniRef50_N6TN26	84.8	322	38	1	1	933	156	477	3.40E-150	538.9	UniRef50_N6TN26 RNA helicase (Fragment) n=3 Tax=Protostomia TaxID=33317 RepID=N6TN26_DENPD
APCI01007358.1	UniRef50_V4B2P9	80.4	311	61	0	1	933	192	502	6.30E-144	518.1	UniRef50_V4B2P9 RNA helicase n=3 Tax=Eukaryota TaxID=2759 RepID=V4B2P9_LOTGI
ATLZ01029285.1	UniRef50_Q9VY54	88.4	311	36	0	1	933	559	869	2.10E-155	556.2	UniRef50_Q9VY54 RNA helicase n=290 Tax=Eumetazoa TaxID=6072 RepID=Q9VY54_DROME
ATLZ01029285.1	UniRef50_L7MEK8	85.5	311	45	0	1	933	550	860	3.10E-151	542.3	UniRef50_L7MEK8 RNA helicase (Fragment) n=39 Tax=Bilateria TaxID=33213 RepID=L7MEK8_RHIPC
ATLZ01029285.1	UniRef50_A0A6H5G623	86.5	311	42	0	1	933	786	1096	1.70E-149	536.6	UniRef50_A0A6H5G623 RNA helicase n=1 Tax=Nesidiocoris tenuis TaxID=355587 RepID=A0A6H5G623_9HEMI
ATLZ01029285.1	UniRef50_N6TN26	84.5	322	39	1	1	933	156	477	3.80E-149	535.4	UniRef50_N6TN26 RNA helicase (Fragment) n=3 Tax=Protostomia TaxID=33317 RepID=N6TN26_DENPD
ATLZ01029285.1	UniRef50_V4B2P9	80.4	311	61	0	1	933	192	502	3.10E-143	515.8	UniRef50_V4B2P9 RNA helicase n=3 Tax=Eukaryota TaxID=2759 RepID=V4B2P9_LOTGI
APCN01000737.1	UniRef50_Q9VY54	88.1	311	37	0	1	933	559	869	3.60E-155	555.4	UniRef50_Q9VY54 RNA helicase n=290 Tax=Eumetazoa TaxID=6072 RepID=Q9VY54_DROME
APCN01000737.1	UniRef50_L7MEK8	85.2	311	46	0	1	933	550	860	1.40E-151	543.5	UniRef50_L7MEK8 RNA helicase (Fragment) n=39 Tax=Bilateria TaxID=33213 RepID=L7MEK8_RHIPC
APCN01000737.1	UniRef50_N6TN26	85.1	322	37	1	1	933	156	477	5.30E-151	541.6	UniRef50_N6TN26 RNA helicase (Fragment) n=3 Tax=Protostomia TaxID=33317 RepID=N6TN26_DENPD
APCN01000737.1	UniRef50_A0A6H5G623	87.1	311	40	0	1	933	786	1096	6.90E-151	541.2	UniRef50_A0A6H5G623 RNA helicase n=1 Tax=Nesidiocoris tenuis TaxID=355587 RepID=A0A6H5G623_9HEMI
APCN01000737.1	UniRef50_V4B2P9	80.4	311	61	0	1	933	192	502	6.30E-144	518.1	UniRef50_V4B2P9 RNA helicase n=3 Tax=Eukaryota TaxID=2759 RepID=V4B2P9_LOTGI
APHL01003100.1	UniRef50_Q9VY54	88.4	311	36	0	1	933	559	869	1.20E-155	557	UniRef50_Q9VY54 RNA helicase n=290 Tax=Eumetazoa TaxID=6072 RepID=Q9VY54_DROME
APHL01003100.1	UniRef50_L7MEK8	85.5	311	45	0	1	933	550	860	6.30E-152	544.7	UniRef50_L7MEK8 RNA helicase (Fragment) n=39 Tax=Bilateria TaxID=33213 RepID=L7MEK8_RHIPC
APHL01003100.1	UniRef50_N6TN26	84.8	322	38	1	1	933	156	477	3.40E-150	538.9	UniRef50_N6TN26 RNA helicase (Fragment) n=3 Tax=Protostomia TaxID=33317 RepID=N6TN26_DENPD
APHL01003100.1	UniRef50_A0A6H5G623	86.5	311	42	0	1	933	786	1096	4.50E-150	538.5	UniRef50_A0A6H5G623 RNA helicase n=1 Tax=Nesidiocoris tenuis TaxID=355587 RepID=A0A6H5G623_9HEMI
APHL01003100.1	UniRef50_V4B2P9	81	311	59	0	1	933	192	502	1.70E-144	520	UniRef50_V4B2P9 RNA helicase n=3 Tax=Eukaryota TaxID=2759 RepID=V4B2P9_LOTGI
ACXO01000161.1	UniRef50_P37024	98.6	356	5	0	1	1068	8	363	3.00E-190	672.2	UniRef50_P37024 ATP-dependent RNA helicase HrpB n=12389 Tax=root TaxID=1 RepID=HRPB_ECOLI
ACXO01000161.1	UniRef50_A0A377CJN4	98.6	356	5	0	1	1068	8	363	3.00E-190	672.2	UniRef50_A0A377CJN4 ATP-dependent helicase HrpB n=48 Tax=Bacteria TaxID=2 RepID=A0A377CJN4_ECOLX
ACXO01000161.1	UniRef50_A0A376MRU6	96.9	356	11	0	1	1068	8	363	4.00E-187	661.8	UniRef50_A0A376MRU6 ATP-dependent helicase HrpB n=28 Tax=Enterobacterales TaxID=91347 RepID=A0A376MRU6_ECOLX
