original values				detectEVE	original values											detectEVE values												
Contig	name	Host_species	Location	locus	Orientation	Best_viral_match	NR evalue	PFAM evalue	region	element																		
AAFR03010417	n.s.	Opossum	72682-75762	AAFR03010417.1_72742-72960:-	-	AY769362	1.00E-79	9.50E-15	13384-15570	NA	negative sense RNA	Ebolavirus	NA	NA	NA	AAFR03_EVE007	high	100	viral (20)	VDB (18), UDB Viruses (2)	6.71E-16	58.9	RNA-directed RNA polymerase L n=86 Tax=Filoviridae  RepID=L_MABVM	RNA-directed RNA polymerase L n=86 Tax=Filoviridae  RepID=L_MABVM	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__unclassified Filoviridae genus;s__unclassified Filoviridae species	Negarnaviricota		
AAFR03010417	n.s.	Opossum	72682-75762	AAFR03010417.1_73866-75762:-	-	AY769362	1.00E-79	9.50E-15	13384-15570	NA	negative sense RNA	Ebolavirus	NA	NA	NA	AAFR03_EVE008	high	100	viral (20)	VDB (17), UDB Viruses (3)	3.06E-135	44.1	polymerase [Reston ebolavirus] acc=AAV48581.1	polymerase [Reston ebolavirus] acc=AAV48581.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus restonense	Negarnaviricota		
AAFR03030551	n.s.	(Monodelphis domestica)	158351-161130	AAFR03030551.1_158331-161256:+	+	FJ620690	1.00E-93	6.20E-50	5448-7625	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAFR03_EVE041	high	93	viral (6), maybe-viral (1)	UDB Viruses (3), VDB (2), endogenous (1), uncharacterized protein (1)	0	51.3	endogenous bornavirus-like L-1 [Eptesicus nilssonii] acc=BAV93682.1	RNA-directed RNA polymerase n=2 Tax=unclassified Bornaviridae  RepID=A0AA48SG54_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__unclassified Bornaviridae genus;s__unclassified Bornaviridae species	Negarnaviricota		
AAFR03032811	n.s.	Opossum	17552-18109	AAFR03032811.1_17454-18407:-	-	FJ169441	6.00E-15	1.70E-13	483-848	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAFR03_EVE042	high	87	viral (17), non-viral (3)	endogenous (8), VDB (7), annotated protein of Eukaryota (2), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	5.48E-35	35	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1	nucleoprotein [Parrot bornavirus 7] acc=QGM12619.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus alphapsittaciforme	Chordata		
AAGE02000021	n.s.	(Aedes aegypti)	44030-44884	AAGE02000021.1_43515-45025:-	-	FJ872827	1.00E-17	1.20E-33	3237-4094	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE006	high	100	viral (17)	VDB (12), UDB Viruses (5)	3.52E-100	35	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Enontekio ohlsrhavirus	Negarnaviricota		
AAGE02000021	n.s.	Yellow fever mosquito	8314-9021	AAGE02000021.1_8839-8976:-	-ve	AY317103.1	2.00E-86	4.00E-14	241-1746	NA	double stranded RNA	Seadornavirus	NA	NA	NA	AAGE02_EVE013	high	100	viral (3)	UDB Viruses (2), VDB (1)	1.02E-18	71.7	VP5 [Liao ning virus] acc=AVP49987.1	VP5 [Liao ning virus] acc=AVP49987.1	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Seadornavirus;s__Liao ning virus	Duplornaviricota		
AAGE02000021	n.s.	Yellow fever mosquito	8314-9021	AAGE02000021.1_8317-8841:-	-ve	AY317103.1	2.00E-86	4.00E-14	241-1746	NA	double stranded RNA	Seadornavirus	NA	NA	NA	AAGE02_EVE012	high	100	viral (2)	UDB Viruses (1), VDB (1)	6.76E-106	85.6	VP5 n=6 Tax=Liao ning virus  RepID=Q2TV15_9REOV	VP5 n=6 Tax=Liao ning virus  RepID=Q2TV15_9REOV	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Seadornavirus;s__Liao ning virus	Duplornaviricota		
AAGE02000022	n.s.	(Aedes aegypti)	2897-3247	AAGE02000022.1_2873-3619:+	+	AM690337.2	3.00E-05	1.00E-10	3732-4073	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE301	high	80	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	4.23E-95	91.6	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	glycoprotein [Evros rhabdovirus 1] acc=QRD99857.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 1	Negarnaviricota		
AAGE02000295	n.s.	(Aedes aegypti)	45909-46376	AAGE02000295.1_45694-46538:+	+	FJ665628	4.00E-30	7.10E-37	8259-8729	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE234	high	95	viral (19), non-viral (1)	VDB (12), UDB Viruses (7), annotated protein of Eukaryota (1)	2.06E-113	65.9	RNA-directed RNA polymerase n=10 Tax=unclassified Rhabdoviridae  RepID=A0A2P1M8N2_9RHAB	RNA-directed RNA polymerase n=10 Tax=unclassified Rhabdoviridae  RepID=A0A2P1M8N2_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota		
AAGE02001422	n.s.	(Aedes aegypti)	25867-26910	AAGE02001422.1_25633-27051:-	-	FJ872827	8.00E-21	2.70E-42	3237-4274	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE022	high	100	viral (17)	VDB (12), UDB Viruses (5)	5.44E-100	35.8	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Enontekio ohlsrhavirus	Negarnaviricota		
