eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ABJB01_EVE001	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABJB010007720.1_1076-1369:+	2.79e-18	42.4	Phosphoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0A977XUD0_9RHAB	Phosphoprotein n=2 Tax=unclassified Rhabdoviridae  RepID=A0A977XUD0_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
ABJB01_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABJB010007720.1_1386-2330:+	2.19e-120	60.3	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
ABJB01_EVE003	high	100	viral (21)	VDB (19), UDB Viruses (2)	ABJB010011847.1_2711-2827:+	8.28e-12	71.8	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
ABJB01_EVE004	high	100	viral (13)	VDB (9), UDB Viruses (4)	ABJB010031889.1_5022-5671:+	1.5e-59	50.2	ORF3 [Suffolk virus] acc=YP_009177220.1 	ORF3 [Suffolk virus] acc=YP_009177220.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__Mivirus;s__Mivirus suffolkense	Negarnaviricota
ABJB01_EVE005	high	100	viral (21)	VDB (13), UDB Viruses (8)	ABJB010032299.1_630-1079:+	7.06e-48	57.9	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
ABJB01_EVE006	high	100	viral (8)	VDB (5), UDB Viruses (3)	ABJB010035271.1_1-249:+	3.9999999999999995e-35	74.7	nucleocapsid protein [Norway phlebovirus 1] acc=YP_010086239.1 	nucleocapsid protein [Norway phlebovirus 1] acc=YP_010086239.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Ixovirus;s__Ixovirus norvegiae	Negarnaviricota
ABJB01_EVE007	high	100	viral (9)	VDB (6), UDB Viruses (3)	ABJB010052416.1_7125-7638:+	2.49e-32	44.3	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
ABJB01_EVE008	high	100	viral (3)	VDB (2), UDB Viruses (1)	ABJB010065944.1_3-885:+	2e-127	68.2	G [Blacklegged tick chuvirus-2] acc=AUW34383.1 	G [Blacklegged tick chuvirus-2] acc=AUW34383.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__Nigecruvirus;s__Nigecruvirus ixodes	Negarnaviricota
ABJB01_EVE009	high	100	viral (9)	VDB (6), UDB Viruses (3)	ABJB010074703.1_635-1531:-	5.389999999999999e-40	38.1	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
ABJB01_EVE010	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABJB010075152.1_687-834:+	5.59e-10	64	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	Replicase n=2 Tax=unclassified Rhabdoviridae  RepID=A0A9E7V277_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
