https://www.ncbi.nlm.nih.gov/Traces/wgs/																			
accesion	project_s	div_s	organism_an	bioproject_s	biosample_ss	infra_name_ss	other_src_ss	contigs_total_length_l	contigs_count_l	contigs_proteins_count_l	contigs_annotated_s	scaffolds_count_l	scaffolds_proteins_count_l	scaffolds_total_length_l	scaffolds_annotated_s	scaffolds_range_ss	chromosome_range_ss	update_date_dt	create_date_dt
AAAB01	WGS	INV	Anopheles gambiae str. PEST	PRJNA1438	SAMN02952903	strain: PEST		328942838	69724	14089	Yes	5	0	230466657	No	CM000356-CM000360		2014-08-05T00:00:00Z	2002-03-22T00:00:00Z
ACXO01	WGS	INV	Anopheles coluzzii	PRJNA20295	SAMN02953721	strain: M		209529067	27063	0	No	10521	0	224417174	No	EQ087210-EQ097730		2022-03-15T00:00:00Z	2008-03-17T00:00:00Z
ALPR02	WGS	INV	Anopheles stephensi	PRJNA167914	SAMN02195186	strain: Indian Wild Type (Walter Reed)		209483518	31761	0	No	526	0	196661677	No	KE388890-KE389415		2014-10-22T00:00:00Z	2013-07-17T00:00:00Z
APCH01	WGS	INV	Anopheles darlingi	PRJNA46227	SAMN02945024			136935538	2220	10444	Yes	0	0	0	No			2014-07-29T00:00:00Z	2013-12-20T00:00:00Z
APCJ01	WGS	INV	Anopheles stephensi	PRJNA167914	SAMN02195186	strain: Indian Wild Type (Walter Reed)		209483518	31761	0	No	526	0	196661677	No	KE388890-KE389415		2014-10-22T00:00:00Z	2013-07-17T00:00:00Z
APCL01	WGS	INV	Anopheles stephensi	PRJNA191554	SAMN02953837	strain: SDA-500		196183657	8946	0	No	1110	0	225369006	No	KB664288-KB665397		2022-03-15T00:00:00Z	2013-03-25T00:00:00Z
APCN01	WGS	INV	Anopheles quadriannulatus	PRJNA191558	SAMN02953838	strain: QUAD4_A		208966669	17590	0	No	2823	0	283828998	No	KB665398-KB668220		2022-03-15T00:00:00Z	2013-03-25T00:00:00Z
ATLV01	WGS	INV	Anopheles funestus	PRJNA67223	SAMN01087923	strain: FUMOZ		190015440	9880	0	No	1392	0	225223604	No	KB668221-KB669612		2016-11-29T00:00:00Z	2013-03-25T00:00:00Z
AXCK02	WGS	INV	Anopheles epiroticus	PRJNA191562	SAMN01087920	strain: epiroticus2		202632179	7793	0	No	2673	0	223486714	No	KB669613-KB672285		2022-03-15T00:00:00Z	2013-03-25T00:00:00Z
AXCM01	WGS	INV	Anopheles albimanus	PRJNA191561	SAMN02953839	strain: ALBI9_A		163585001	2861	0	No	106	0	340197019	No	CM008152-CM008156,KZ268716-KZ268816		2022-03-15T00:00:00Z	2013-03-25T00:00:00Z
AXCP01	WGS	INV	Anopheles dirus	PRJNA67231	SAMN02953840	strain: WRAIR2		197741572	8257	0	No	1266	0	216307690	No	KB672490-KB673755		2022-03-15T00:00:00Z	2013-03-25T00:00:00Z
JXXA01	WGS	INV	Anopheles christyi	PRJNA191564	SAMN02953841	strain: ACHKN1017		169987185	31483	0	No	30369	0	172658580	No	KB673756-KB704124		2022-03-15T00:00:00Z	2013-03-25T00:00:00Z
ABKP02	WGS	INV	Anopheles arabiensis	PRJNA191565	SAMN02953842	strain: DONG5_A		211443117	10179	0	No	1214	0	246567867	No	KB704125-KB705338		2022-03-15T00:00:00Z	2013-03-25T00:00:00Z
ADMH02	WGS	INV	Anopheles minimus	PRJNA67225	SAMN02953845	strain: MINIMUS1		186406809	6168	0	No	678	0	201793324	No	KB663610-KB664287		2022-03-15T00:00:00Z	2013-03-25T00:00:00Z
APCG01	WGS	INV	Anopheles sinensis	PRJNA209295	SAMN02910229			214511315	27445	0	No	9592	19352	220777669	Yes	KE523839-KE525423,KL639024-KL647030		2014-07-28T00:00:00Z	2013-07-26T00:00:00Z
APCI01	WGS	INV	Anopheles nili	PRJNA197423	SAMN02953855		dev_stage: larvae	98320046	51048	0	No	0	0	0	No			2014-08-06T00:00:00Z	2013-07-22T00:00:00Z
APCK01	WGS	INV	Anopheles sinensis	PRJNA214011	SAMN02953870	strain: SINENSIS		190280839	30931	0	No	3101	0	357239753	No	KI916183-KI919283		2022-03-15T00:00:00Z	2014-01-15T00:00:00Z
APCM01	WGS	INV	Anopheles maculatus	PRJNA67221	SAMN01087922	strain: maculatus3		131831173	53883	0	No	5556	0	34836303	No	KI433417-KI438972		2022-03-15T00:00:00Z	2013-09-30T00:00:00Z
APHL01	WGS	INV	Anopheles culicifacies	PRJNA163119	SAMN02953871	strain: species A-37_1		187158781	24182	0	No	5230	0	115195663	No	KI422464-KI427693		2022-03-15T00:00:00Z	2013-09-30T00:00:00Z
ATLZ01	WGS	INV	Anopheles farauti	PRJNA67229		strain: FAR1		175954031	2876	0	No	343	0	176332856	No	KI421539-KI421881		2013-09-30T00:00:00Z	2013-09-30T00:00:00Z
AXCL01	WGS	INV	Anopheles atroparvus	PRJNA67233	SAMN01087926	strain: EBRO		188952560	9880	0	No	582	0	220170324	No	KI421882-KI422463		2022-03-15T00:00:00Z	2013-09-30T00:00:00Z
AXCN01	WGS	INV	Anopheles merus	PRJNA67215	SAMN02298837	strain: MAF	host: Homo sapiens	218191936	12077	0	No	1792	0	242096108	No	KI438973-KI440764		2013-09-30T00:00:00Z	2013-09-30T00:00:00Z
AXCQ01	WGS	INV	Anopheles punctulatus	PRJNA248827	SAMN02803809	isolate: APwgs2	dev_stage: adult	146157495	20774	0	No	0	0	0	No			2015-03-19T00:00:00Z	2015-03-19T00:00:00Z
JXXB01	WGS	INV	Anopheles koliensis	PRJNA248827	SAMN02803811	isolate: AKwgs3	dev_stage: adult	151110088	41925	0	No	0	0	0	No			2015-03-19T00:00:00Z	2015-03-19T00:00:00Z
