eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JARHUA01_EVE001	high	100	viral (7)	VDB (5), UDB Viruses (2)	JARHUA010000007.1_653506-654009:-	7e-33	42.3	Capsid protein n=1 Tax=Myzus persicae nege-like virus 1  RepID=A0A976X8Z3_9VIRU	Capsid protein n=1 Tax=Myzus persicae nege-like virus 1  RepID=A0A976X8Z3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Myzus persicae nege-like virus 1	unclassified Viruses phylum
JARHUA01_EVE002	high	100	viral (4)	UDB Viruses (2), VDB (2)	JARHUA010000246.1_155839-156321:+	1.94e-5	26.2	Uncharacterized protein n=3 Tax=Viruses  RepID=A0A976RXC1_9VIRU	Uncharacterized protein n=3 Tax=Viruses  RepID=A0A976RXC1_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	unclassified Viruses phylum
JARHUA01_EVE003	high	100	viral (2)	UDB Viruses (1), VDB (1)	JARHUA010000396.1_336674-337012:-	1.64e-33	50.9	hypothetical protein [Aphis citricidus meson-like virus] acc=QPD01784.1 	hypothetical protein [Aphis citricidus meson-like virus] acc=QPD01784.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Nidovirales;f__Mesoniviridae;g__Tocinivirus;s__Tocinivirus aphisi	Pisuviricota
JARHUA01_EVE004	high	100	viral (13)	UDB Viruses (6), VDB (6), viral (1)	JARHUA010000594.1_34344-34909:-	6.9999999999999995e-25	35.6	VP5 n=1 Tax=viral metagenome  RepID=A0A2V0RI55_9ZZZZ	VP5 (Fragment) n=1 Tax=Kadipiro virus  RepID=A0A1D8H0F9_9REOV	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Seadornavirus;s__Seadornavirus kadipiroense	Duplornaviricota
JARHUA01_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	JARHUA010000598.1_48908-49889:+	1.23e-19	24.2	hypothetical protein [Xiangshan rhabdo-like virus 2] acc=UDL13984.1 	hypothetical protein [Xiangshan rhabdo-like virus 2] acc=UDL13984.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xiangshan rhabdo-like virus 2	Negarnaviricota
JARHUA01_EVE006	high	100	viral (21)	VDB (18), UDB Viruses (3)	JARHUA010000610.1_157333-158434:-	3.52e-89	44.6	polymerase PB1 [Beihai orthomyxo-like virus 1] acc=APG77865.1 	polymerase PB1 [Beihai orthomyxo-like virus 1] acc=APG77865.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Beihai orthomyxo-like virus 1	Negarnaviricota
JARHUA01_EVE007	high	100	viral (12)	VDB (7), UDB Viruses (4), viral (1)	JARHUA010000624.1_206944-207213:-	2.2e-12	43.6	VP6 n=7 Tax=Liao ning virus  RepID=Q2TPU5_9REOV	VP6 n=7 Tax=Liao ning virus  RepID=Q2TPU5_9REOV	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Seadornavirus;s__Seadornavirus liaoningense	Duplornaviricota
JARHUA01_EVE008	high	100	viral (20)	VDB (11), UDB Viruses (9)	JARHUA010000750.1_40718-42262:-	7.98e-98	36.2	RNA-dependent RNA polymerase [Hemipteran arli-related virus OKIAV95] acc=QPL15300.1 	RNA-dependent RNA polymerase [Hemipteran arli-related virus OKIAV95] acc=QPL15300.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Lispiviridae;g__Xenophyvirus;s__Xenophyvirus mathesonense	Negarnaviricota
JARHUA01_EVE009	high	100	viral (4)	VDB (2), UDB Viruses (1), viral (1)	JARHUA010000849.1_98398-98941:+	1.2099999999999999e-32	44	VP9 n=1 Tax=viral metagenome  RepID=A0A2V0R9R2_9ZZZZ	VP8 n=9 Tax=Liao ning virus  RepID=Q2TPU3_9REOV	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Seadornavirus;s__Seadornavirus liaoningense	Duplornaviricota
JARHUA01_EVE010	high	100	viral (3)	UDB Viruses (1), VDB (1), viral (1)	JARHUA010001078.1_24388-24920:-	5.93e-32	45.9	VP8 n=9 Tax=Liao ning virus  RepID=Q2TPU3_9REOV	VP8 n=9 Tax=Liao ning virus  RepID=Q2TPU3_9REOV	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Seadornavirus;s__Seadornavirus liaoningense	Duplornaviricota
JARHUA01_EVE011	high	100	viral (4)	VDB (2), UDB Viruses (1), viral (1)	JARHUA010001199.1_19037-19580:-	1.56e-33	44.6	VP9 n=1 Tax=viral metagenome  RepID=A0A2V0R9R2_9ZZZZ	VP8 n=9 Tax=Liao ning virus  RepID=Q2TPU3_9REOV	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Seadornavirus;s__Seadornavirus liaoningense	Duplornaviricota
JARHUA01_EVE012	high	100	viral (3)	UDB Viruses (1), VDB (1), viral (1)	JARHUA010001234.1_59663-60194:+	1.37e-29	45.6	VP8 n=9 Tax=Liao ning virus  RepID=Q2TPU3_9REOV	VP8 n=9 Tax=Liao ning virus  RepID=Q2TPU3_9REOV	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Seadornavirus;s__Seadornavirus liaoningense	Duplornaviricota
JARHUA01_EVE013	high	95	viral (20), non-viral (1)	VDB (11), UDB Viruses (9), annotated protein of Eukaryota (1)	JARHUA010001155.1_76973-78207:-	9.46e-97	44.5	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Sanxia Water Strider Virus 5	Negarnaviricota
JARHUA01_EVE014	high	95	viral (20), non-viral (1)	VDB (12), UDB Viruses (8), annotated protein of Eukaryota (1)	JARHUA010001155.1_78655-79282:-	1.13e-39	43	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Sanxia Water Strider Virus 5	Negarnaviricota
JARHUA01_EVE015	high	95	viral (20), non-viral (1)	VDB (12), UDB Viruses (8), annotated protein of Eukaryota (1)	JARHUA010001344.1_48650-49276:+	1.0899999999999999e-41	43.2	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Sanxia Water Strider Virus 5	Negarnaviricota
JARHUA01_EVE016	high	95	viral (20), non-viral (1)	VDB (11), UDB Viruses (9), annotated protein of Eukaryota (1)	JARHUA010001344.1_49724-50958:+	9.46e-97	44.5	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Sanxia Water Strider Virus 5	Negarnaviricota
JARHUA01_EVE017	high	95	viral (20), non-viral (1)	VDB (12), UDB Viruses (8), annotated protein of Eukaryota (1)	JARHUA010001564.1_3873-4499:+	5.9e-42	43.6	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	Replicase n=1 Tax=Sanxia Water Strider Virus 5  RepID=A0A0B5KK35_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Sanxia Water Strider Virus 5	Negarnaviricota
