eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AAGE02_EVE001	high	100	viral (12)	VDB (7), UDB Viruses (5)	AAGE02000019.1_101983-102300:-	1.94e-25	46.2	nucleoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64911.1 	nucleoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64911.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
AAGE02_EVE002	high	100	viral (11)	VDB (6), UDB Viruses (5)	AAGE02000019.1_118197-119542:-	6.13e-64	29.9	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
AAGE02_EVE003	high	100	viral (11)	VDB (6), UDB Viruses (5)	AAGE02000019.1_96920-98730:-	1.83e-95	31.1	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
AAGE02_EVE004	high	100	viral (20)	VDB (15), UDB Viruses (5)	AAGE02000021.1_12242-13716:-	2.3499999999999998e-125	42.3	polyprotein [La Tina virus] acc=ATL63282.1 	polyprotein [La Tina virus] acc=ATL63282.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Orthoflavivirus;s__La Tina virus	Kitrinoviricota
AAGE02_EVE005	high	100	viral (5)	VDB (3), UDB Viruses (2)	AAGE02000021.1_28562-28816:-	2.37e-41	67.1	hypothetical protein [Orbis virgavirus] acc=UUG66878.1 	hypothetical protein [Orbis virgavirus] acc=UUG66878.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Martellivirales;f__Virgaviridae;g__unclassified Virgaviridae genus;s__Orbis virgavirus	Kitrinoviricota
AAGE02_EVE006	high	100	viral (17)	VDB (12), UDB Viruses (5)	AAGE02000021.1_43515-45025:-	3.5200000000000003e-100	35	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1 	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Enontekio ohlsrhavirus	Negarnaviricota
AAGE02_EVE007	high	100	viral (5)	VDB (3), UDB Viruses (2)	AAGE02000021.1_46032-46576:-	7.21e-111	89.6	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Palmetto orthomyxo-like virus	Negarnaviricota
AAGE02_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	AAGE02000021.1_49339-49664:-	9.21e-47	73.2	putative capsid protein [Verdadero virus] acc=QMI58129.1 	putative capsid protein [Verdadero virus] acc=QMI58129.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Verdadero virus	Pisuviricota
AAGE02_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	AAGE02000021.1_51547-51872:-	9.21e-47	73.2	putative capsid protein [Verdadero virus] acc=QMI58129.1 	putative capsid protein [Verdadero virus] acc=QMI58129.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Verdadero virus	Pisuviricota
AAGE02_EVE010	high	100	viral (5)	VDB (3), UDB Viruses (2)	AAGE02000021.1_53490-54029:-	8.29e-98	82.8	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Palmetto orthomyxo-like virus	Negarnaviricota
