ID	Scaffold	Start	End	Len	q_seq_id	Num_total_hit	Num_viral_hit	Fraction_viral_hit	Bestviral_Protein	Virus_name	BestviralEval	Num_subj_same_bestViralEval	Bestviral_frame	Bestviral_percid	Bestviral_qcov	Bestviral_start	Bestviral_end	Bestviral_slen	Bestviral_taxid	Bestviral_accession	BestSubj	BestEval	Num_subj_same_bestEval	Sel_BestSubj	Sel_BestEval	Sel_Num_subj_same_bestEval	NIRVSmerged	Viral Order	Viral Family	Viral Order taxid	Viral Family taxid
NIRVS_1	AXCN01000297.1	183334	183729	395	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_AXCN01000297.1_183334_183729(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_058060693.1_small ubiquitin-related modifier 3 [Anopheles bellator]:1-92	8.8e-44	2	XP_058060693.1_small ubiquitin-related modifier 3 [Anopheles bellator]:1-92	8.8e-44	2	yes	NA	NA	NA	NA
NIRVS_10	AXCN01000932.1	4162	5061	899	BAD04937.1_acc|GENBANK|BAD04937.1|GENBANK|AB111966|poryprotein_[Bovine_viral_diarrhea_virus_190cp]_taxid=233888_AXCN01000932.1_4174_4428(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_035897157.1_polyubiquitin-like [Anopheles stephensi]:1-296	1.3e-154	2	XP_035897157.1_polyubiquitin-like [Anopheles stephensi]:1-296	1.3e-154	2	yes	NA	NA	NA	NA
NIRVS_11	AXCN01001110.1	161399	161629	230	AAD44037.1_acc|GENBANK|AAD44037.1|GENBANK|AF104020|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_AXCN01001110.1_161411_161629(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_052897899.1_ubiquitin-40S ribosomal protein S27a isoform X1 [Anopheles moucheti]:53-127	7.6e-32	1	XP_052897899.1_ubiquitin-40S ribosomal protein S27a isoform X1 [Anopheles moucheti]:53-127	7.6e-32	1	yes	NA	NA	NA	NA
NIRVS_12	AXCN01001327.1	51677	52051	374	QNM37798.1_acc|GENBANK|QNM37798.1|GENBANK|MN714664|hypothetical_protein_[Frankliniella_occidentalis_flavi-like_virus_1]_taxid=2767259_AXCN01001327.1_51677_52051(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_049285055.1_ADP-ribose glycohydrolase OARD1-like [Anopheles funestus]:63-185	7.5e-53	1	XP_049285055.1_ADP-ribose glycohydrolase OARD1-like [Anopheles funestus]:63-185	7.5e-53	1	yes	NA	NA	NA	NA
NIRVS_13	AXCN01001328.1	37521	37919	398	AAD44042.1_acc|GENBANK|AAD44042.1|GENBANK|AF104025|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_AXCN01001328.1_37623_37919(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	CAI2722367.1_unnamed protein product, partial [Schistosoma spindale]:27-143	2.9e-47	1	XP_061817934.1_polyubiquitin-C isoform X2 [Nerophis lumbriciformis]:18-139	1.5e-46	2	yes	NA	NA	NA	NA
NIRVS_14	AXCN01001329.1	2	280	278	CAJ78441.1_acc|GENBANK|CAJ78441.1|GENBANK|AM231628|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_AXCN01001329.1_8_232(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_016089979.1_PREDICTED: polyubiquitin-like isoform X2 [Sinocyclocheilus grahami]:1-94	2.6e-34	1	XP_044993566.1_ubiquitin-40S ribosomal protein S27a-like [Jaculus jaculus]:1-87	7.5e-34	1	yes	NA	NA	NA	NA
NIRVS_15	AXCN01001585.1	959	1078	119	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_AXCN01001585.1_959_1078(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_039448466.1_small ubiquitin-related modifier 3-like [Culex pipiens pallens]:10-48	5.3e-13	13	XP_039448466.1_small ubiquitin-related modifier 3-like [Culex pipiens pallens]:10-48	5.3e-13	9	yes	NA	NA	NA	NA
NIRVS_16	AXCN01001585.1	1164	1304	140	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_AXCN01001585.1_1164_1304(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_055637383.1_small ubiquitin-related modifier 3 [Toxorhynchites rutilus septentrionalis]:50-91	2.5e-14	15	XP_055637383.1_small ubiquitin-related modifier 3 [Toxorhynchites rutilus septentrionalis]:50-91	2.5e-14	11	yes	NA	NA	NA	NA
NIRVS_17	AXCN01001769.1	2833	4204	1371	AAD44042.1_acc|GENBANK|AAD44042.1|GENBANK|AF104025|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_AXCN01001769.1_3481_3035(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	CAF4099104.1_unnamed protein product [Rotaria socialis]:448-829	2.1e-124	1	CAI9719839.1_polyubiquitin-C isoform X1 [Octopus vulgaris]:10-389	2.7e-124	1	yes	NA	NA	NA	NA
NIRVS_18	AXCN01001769.1	5753	5968	215	BAD04938.1_acc|GENBANK|BAD04938.1|GENBANK|AB111967|poryprotein_[Bovine_viral_diarrhea_virus_T-20]_taxid=233889_AXCN01001769.1_5968_5765(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	AFK73707.1_ubiquitin [Ostrea edulis]:85-153	1.9e-29	25	AFK73707.1_ubiquitin [Ostrea edulis]:85-153	1.9e-29	10	yes	NA	NA	NA	NA
