ID	Scaffold	Start	End	Len	q_seq_id	Num_total_hit	Num_viral_hit	Fraction_viral_hit	Bestviral_Protein	Virus_name	BestviralEval	Num_subj_same_bestViralEval	Bestviral_frame	Bestviral_percid	Bestviral_qcov	Bestviral_start	Bestviral_end	Bestviral_slen	Bestviral_taxid	Bestviral_accession	BestSubj	BestEval	Num_subj_same_bestEval	Sel_BestSubj	Sel_BestEval	Sel_Num_subj_same_bestEval	NIRVSmerged
NIRVS_10	AXCK02004208.1	3410	4411	1001	NP_620053.1_acc|REFSEQ|NP_620053.1|REFSEQ|NC_003678|polyprotein_[Pestivirus_giraffe-1_H138]_taxid=119222_AXCK02004208.1_4399_3410(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	KFB37518.1_AGAP011149-PA-like protein [Anopheles sinensis]:104-436	2e-185	2	XP_058129930.1_putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles coustani] >XP_058173265.1 putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles ziemanni]:104-436	2e-185	1	yes
NIRVS_19	AXCK02024744.1	822	1613	791	QOW96371.1_acc|GENBANK|QOW96371.1|GENBANK|MW208042|polyprotein_[Dengue_virus_1]_taxid=11053_AXCK02024744.1_1142_930(-)	25	24	0.96	YP_009389245.1_NS3 	Karumba virus	5.8e-63	3	1	58.3	83.8	255	474	597	1969397	YP_009389245.1	XP_052870849.1_uncharacterized protein LOC128276428, partial [Anopheles cruzii]:282-500	2.1e-44	1	NA	-1	0	no
NIRVS_3	AXCK02000049.1	84913	85041	128	CAJ78441.1_acc|GENBANK|CAJ78441.1|GENBANK|AM231628|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_AXCK02000049.1_84916_85041(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_058117326.1_polyubiquitin-C-like isoform X1 [Anopheles coustani]:2-43	1.4e-11	3	XP_058117326.1_polyubiquitin-C-like isoform X1 [Anopheles coustani]:2-43	1.4e-11	2	yes
NIRVS_12	AXCK02005055.1	1	210	209	AAD44041.1_acc|GENBANK|AAD44041.1|GENBANK|AF104024|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_AXCK02005055.1_1_207(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	NXL10105.1_UBIQP protein [Mesembrinibis cayennensis]:87-155	3.2e-29	25	NXL10105.1_UBIQP protein [Mesembrinibis cayennensis]:87-155	3.2e-29	15	yes
NIRVS_4	AXCK02000050.1	1	522	521	AAD44044.1_acc|GENBANK|AAD44044.1|GENBANK|AF104027|polyprotein_[Bovine_viral_diarrhea_virus_2]_taxid=54315_AXCK02000050.1_292_519(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_041367814.1_polyubiquitin-C [Gigantopelta aegis]:437-609	4.1e-89	25	XP_041367814.1_polyubiquitin-C [Gigantopelta aegis]:437-609	4.1e-89	14	yes
NIRVS_8	AXCK02003848.1	12289	12396	107	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_AXCK02003848.1_12396_12289(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_035896339.1_small ubiquitin-related modifier 2-like [Anopheles stephensi] >XP_050071660.1 small ubiquitin-related modifier 2-like [Anopheles maculipalpis]:56-90	2.2e-10	20	XP_035896339.1_small ubiquitin-related modifier 2-like [Anopheles stephensi] >XP_050071660.1 small ubiquitin-related modifier 2-like [Anopheles maculipalpis]:56-90	2.2e-10	15	yes
NIRVS_15	AXCK02013171.1	1697	2062	365	AHM88397.1_acc|GENBANK|AHM88397.1|NEIGHBOR|KJ463423|polyprotein_[Border_disease_virus]_taxid=358764_AXCK02013171.1_1697_2044(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	KFB44127.1_hypothetical protein ZHAS_00011962 [Anopheles sinensis]:936-1022	1.3e-38	1	XP_052897672.1_transcription factor 20 [Anopheles moucheti]:906-996	1.5e-34	1	yes
NIRVS_20	AXCK02026585.1	192	605	413	CAJ78441.1_acc|GENBANK|CAJ78441.1|GENBANK|AM231628|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_AXCK02026585.1_303_527(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	KFB37458.1_hypothetical protein ZHAS_00004594 [Anopheles sinensis]:43-163	3e-55	1	XP_058060227.1_polyubiquitin-C [Anopheles bellator]:43-168	1.2e-54	1	yes
NIRVS_9	AXCK02003848.1	12948	13067	119	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_AXCK02003848.1_13067_12948(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_058126937.1_small ubiquitin-related modifier 2-like [Anopheles coustani] >XP_058175727.1 small ubiquitin-related modifier 2-like [Anopheles ziemanni]:7-45	6.9e-13	1	XP_058126937.1_small ubiquitin-related modifier 2-like [Anopheles coustani] >XP_058175727.1 small ubiquitin-related modifier 2-like [Anopheles ziemanni]:7-45	6.9e-13	1	yes
NIRVS_1	AXCK02000042.1	80402	81427	1025	QTJ63648.1_acc|GENBANK|QTJ63648.1|GENBANK|MW208805|NS3_[Neuropteran_jingmen-related_virus]_taxid=2822568_AXCK02000042.1_81424_80402(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	KFB40810.1_AGAP001338-PA-like protein [Anopheles sinensis]:209-549	1.7e-192	1	XP_058118070.1_probable ATP-dependent RNA helicase DHX34 [Anopheles coustani] >XP_058174652.1 probable ATP-dependent RNA helicase DHX34 [Anopheles ziemanni]:208-548	7.3e-191	1	yes
