eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE001	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_064874.1_55869737-55872070:+	9.719999999999999e-161	33	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_064874.1_56064690-56065049:+	4.16e-67	79.2	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE003	high	100	viral (3)	VDB (2), capsid (1)	NC_064874.1_56065006-56066040:+	2.32e-212	85.2	Nucleocapsid protein n=6 Tax=root  RepID=A0A481XUC0_9VIRU	nucleocapsid protein [Anopheles triannulatus orthophasmavirus] acc=YP_010086187.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_064874.1_56066211-56066525:+	1.08e-41	64.8	ORF3 protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XUK3_9VIRU	ORF3 protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XUK3_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE005	high	100	viral (4)	VDB (3), UDB Viruses (1)	NC_064874.1_56528519-56529295:+	2.7099999999999996e-103	56.5	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE006	high	100	viral (4)	VDB (3), UDB Viruses (1)	NC_064875.1_32446377-32447465:+	1.3299999999999998e-160	66.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE007	high	100	viral (5)	VDB (3), UDB Viruses (2)	NC_064875.1_32517270-32518069:-	8.53e-32	31.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE008	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_064875.1_32518024-32518550:-	2.9499999999999997e-24	33.3	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE009	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_064875.1_32518505-32518862:-	1.73e-19	34.7	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE010	high	100	viral (5)	VDB (3), UDB Viruses (2)	NC_064875.1_32520798-32521597:-	1.1e-30	31.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
