eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CACC01_EVE001	high	95	viral (19), non-viral (1)	VDB (18), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	gi|312260472|emb|CACC01000361.1|_10990-11214:+	3.45e-29	65.3	RNA-dependent RNA polymerase [Medicago sativa alphapartitivirus 2] acc=QBC36014.1 	RNA-dependent RNA polymerase [Medicago sativa alphapartitivirus 2] acc=QBC36014.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__Alphapartitivirus;s__Medicago sativa alphapartitivirus 2	Pisuviricota
CACC01_EVE002	high	91	viral (8), non-viral (1)	VDB (7), annotated protein of Eukaryota (1), UDB Viruses (1)	gi|312248589|emb|CACC01012244.1|_7705-8271:+	5.5799999999999996e-24	36.9	coat protein [Partitiviridae sp.] acc=QXV86354.1 	coat protein [Partitiviridae sp.] acc=QXV86354.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitiviridae sp.	Pisuviricota
CACC01_EVE003	high	77	viral (9), non-viral (2), maybe-viral (1)	VDB (9), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1), uncharacterized protein (1)	gi|312248120|emb|CACC01012713.1|_26942-27406:+	7.84e-16	29.2	RNA-dependent RNA polymerase [Ocimum basilicum RNA virus 2] acc=YP_009408146.1 	RNA-dependent RNA polymerase [Ocimum basilicum RNA virus 2] acc=YP_009408146.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__Mitovirus;s__Ocimum basilicum RNA virus 2	Lenarviricota
CACC01_EVE004	high	73	viral (12), non-viral (3), maybe-viral (2)	VDB (7), UDB Viruses (5), annotated protein of Eukaryota (3), uncharacterized protein (2)	gi|312243426|emb|CACC01017407.1|_1374-1861:-	1.0899999999999998e-42	100	Uncharacterized protein n=1 Tax=Theobroma cacao  RepID=A0A061EKW0_THECC	capsid [Lysoka partiti-like virus] acc=AWV67014.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Picobirnaviridae;g__unclassified Picobirnaviridae genus;s__Lysoka partiti-like virus	Pisuviricota
CACC01_EVE005	high	73	viral (7), false-viral (1)	VDB (7), ubiquitin (1)	gi|312254929|emb|CACC01005904.1|_45582-46427:-	4.35e-5	92.3	Ubiquitin-like domain-containing protein n=3 Tax=Agaricomycetes  RepID=A0A0D0E3I2_9AGAM	ubiquitin-like protein [Diatraea saccharalis granulovirus] acc=YP_009182246.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Betabaculovirus;s__Betabaculovirus disaccharalis	unclassified Viruses phylum
CACC01_EVE006	high	71	viral (13), maybe-viral (7), non-viral (1)	VDB (9), uncharacterized protein (7), UDB Viruses (4), annotated protein of Eukaryota (1)	gi|312248125|emb|CACC01012708.1|_17203-17880:-	1.17e-74	60.8	Uncharacterized protein n=1 Tax=Coptis chinensis  RepID=A0A835GTL3_9MAGN	RNA-dependent RNA polymerase [Mitoviridae sp.] acc=UJQ92467.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
CACC01_EVE007	high	61	viral (9), maybe-viral (6), non-viral (1)	UDB Viruses (8), uncharacterized protein (6), annotated protein of Eukaryota (1), VDB (1)	gi|312239249|emb|CACC01021584.1|_27552-28568:-	1.9e-74	98.3	Uncharacterized protein n=1 Tax=Theobroma cacao  RepID=A0A061G034_THECC	Nucleoprotein n=1 Tax=Asclepias syriaca virus 3  RepID=A0A9N6YJ12_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Asclepias syriaca virus 3	Negarnaviricota
CACC01_EVE008	high	49	maybe-viral (4), viral (4), non-viral (1)	uncharacterized protein (4), VDB (3), annotated protein of unclassified root superkingdom (1), viral (1)	gi|312248127|emb|CACC01012706.1|_40620-42336:+	8.95e-136	68.7	Uncharacterized protein n=1 Tax=Gossypium raimondii  RepID=A0A0D2LZF3_GOSRA	RNA-dependent RNA polymerase [Dahlia pinnata mitovirus 1] acc=YP_010798878.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__Duamitovirus;s__Duamitovirus dapi1	Streptophyta
CACC01_EVE009	high	48	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	gi|312248120|emb|CACC01012713.1|_20633-20947:-	2.2000000000000002e-27	75.7	Uncharacterized protein n=1 Tax=Prunus dulcis  RepID=A0AAD4ZCM7_PRUDU	putative RNA-dependent RNA polymerase [Mitoviridae sp.] acc=UJQ92483.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Lenarviricota
CACC01_EVE010	low	31	maybe-viral (7), non-viral (5), viral (5), retro (4)	uncharacterized protein (6), annotated protein of Eukaryota (5), reverse transcriptase (4), VDB (4), hypothetical protein (1), UDB Viruses (1)	gi|312248126|emb|CACC01012707.1|_22315-22514:-	4.71e-10	50	putative RNA-dependent RNA polymerase [Mitoviridae sp.] acc=UJQ92483.1 	putative RNA-dependent RNA polymerase [Mitoviridae sp.] acc=UJQ92483.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Howeltoviricetes;o__Cryppavirales;f__Mitoviridae;g__unclassified Mitoviridae genus;s__Mitoviridae sp.	Streptophyta
