eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AAFR03_EVE001	high	100	viral (19)	VDB (14), UDB Viruses (5)	AAFR03001213.1_40943-41303:-	3.38e-9	37.1	RNA-directed RNA polymerase (Fragment) n=1 Tax=Estrildid finch bornavirus 1  RepID=V9XSQ8_9MONO	RNA-directed RNA polymerase (Fragment) n=1 Tax=Estrildid finch bornavirus 1  RepID=V9XSQ8_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus estrildidae	Negarnaviricota
AAFR03_EVE002	high	100	viral (13)	VDB (9), UDB Viruses (4)	AAFR03001213.1_42781-43983:-	2.4e-15	26	RNA-dependent RNA polymerase [Aquatic bird bornavirus 2] acc=YP_009268916.1 	RNA-dependent RNA polymerase [Aquatic bird bornavirus 2] acc=YP_009268916.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus avisaquaticae	Negarnaviricota
AAFR03_EVE003	high	100	viral (21)	VDB (14), UDB Viruses (7)	AAFR03001951.1_122266-122979:+	2.86e-39	45.9	NS1 [Canine parvovirus] acc=WDW25794.1 	NS1 [Canine parvovirus] acc=WDW25794.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus carnivoran1	Cossaviricota
AAFR03_EVE004	high	100	viral (23)	VDB (19), UDB Viruses (4)	AAFR03006048.1_199919-200280:+	4.95e-12	34.4	Rep [Canine parvovirus] acc=WDW25820.1 	Rep [Canine parvovirus] acc=WDW25820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus carnivoran1	Cossaviricota
AAFR03_EVE005	high	100	viral (20)	VDB (15), UDB Viruses (5)	AAFR03006734.1_78910-80174:+	5.540000000000001e-91	42.1	nonstructural protein [Protoparvovirus eulipotyphla1] acc=YP_009130650.1 	nonstructural protein [Protoparvovirus eulipotyphla1] acc=YP_009130650.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus eulipotyphla1	Cossaviricota
AAFR03_EVE006	high	100	viral (20)	VDB (16), UDB Viruses (4)	AAFR03006734.1_80499-82603:+	2.6e-84	30.3	putative VP1 [Bufavirus-1] acc=AFN44268.1 	putative VP1 [Bufavirus-1] acc=AFN44268.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Bufavirus-1	Cossaviricota
AAFR03_EVE007	high	100	viral (20)	VDB (18), UDB Viruses (2)	AAFR03010417.1_72742-72960:-	6.71e-16	58.9	RNA-directed RNA polymerase L n=86 Tax=Filoviridae  RepID=L_MABVM	RNA-directed RNA polymerase L n=86 Tax=Filoviridae  RepID=L_MABVM	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__unclassified Filoviridae genus;s__unclassified Filoviridae species	Negarnaviricota
AAFR03_EVE008	high	100	viral (20)	VDB (17), UDB Viruses (3)	AAFR03010417.1_73866-75762:-	3.06e-135	44.1	polymerase [Reston ebolavirus] acc=AAV48581.1 	polymerase [Reston ebolavirus] acc=AAV48581.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus restonense	Negarnaviricota
AAFR03_EVE009	high	100	viral (1)	VDB (1)	AAFR03011915.1_55475-55677:+	1.52e-7	43.7	triple gene block 3 protein [Grapevine virus T] acc=AYQ96166.1 	triple gene block 3 protein [Grapevine virus T] acc=AYQ96166.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Betaflexiviridae;g__Foveavirus;s__Grapevine virus T	Kitrinoviricota
AAFR03_EVE010	high	100	viral (20)	VDB (16), UDB Viruses (4)	AAFR03014301.1_83852-85264:+	1.1199999999999999e-96	42.8	non-structural protein [Protoparvovirus Zsana/2013/HUN] acc=YP_009666130.1 	non-structural protein [Protoparvovirus Zsana/2013/HUN] acc=YP_009666130.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus ungulate2	Cossaviricota
