ID	Scaffold	Start	End	Len	q_seq_id	Num_total_hit	Num_viral_hit	Fraction_viral_hit	Bestviral_Protein	Virus_name	BestviralEval	Num_subj_same_bestViralEval	Bestviral_frame	Bestviral_percid	Bestviral_qcov	Bestviral_start	Bestviral_end	Bestviral_slen	Bestviral_taxid	Bestviral_accession	BestSubj	BestEval	Num_subj_same_bestEval	Sel_BestSubj	Sel_BestEval	Sel_Num_subj_same_bestEval	NIRVSmerged	Viral Order	Viral Family	Viral Order taxid	Viral Family taxid
NIRVS_1	JXXA01001030.1	4564	5535	971	QWJ88498.1_acc|GENBANK|QWJ88498.1|GENBANK|MZ027894|polyprotein_[Linda_virus]_taxid=2014960_JXXA01001030.1_5535_4564(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_050076757.1_pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 [Anopheles maculipalpis]:496-818	2.5e-180	1	XP_050076757.1_pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 [Anopheles maculipalpis]:496-818	2.5e-180	1	yes	NA	NA	NA	NA
NIRVS_10	JXXA01005408.1	36934	37158	224	AAA53067.1_acc|GENBANK|AAA53067.1|GENBANK|L13783|p125_protein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXA01005408.1_37158_36934(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_052897899.1_ubiquitin-40S ribosomal protein S27a isoform X1 [Anopheles moucheti]:54-126	1.1e-30	1	XP_052897899.1_ubiquitin-40S ribosomal protein S27a isoform X1 [Anopheles moucheti]:54-126	1.1e-30	1	yes	NA	NA	NA	NA
NIRVS_11	JXXA01005576.1	18416	18787	371	AAA53067.1_acc|GENBANK|AAA53067.1|GENBANK|L13783|p125_protein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXA01005576.1_18485_18787(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_046542268.1_LOW QUALITY PROTEIN: polyubiquitin-C-like [Haliotis rubra]:282-381	5.3e-35	1	KFV77267.1_Polyubiquitin-C, partial [Dryobates pubescens]:58-156	1.2e-34	1	yes	NA	NA	NA	NA
NIRVS_12	JXXA01009588.1	3544	4716	1172	AID49629.1_acc|GENBANK|AID49629.1|NEIGHBOR|KJ627180|polyprotein_[Bovine_viral_diarrhea_virus_3]_taxid=381707_JXXA01009588.1_4716_3544(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_040168637.1_ATP-dependent DNA/RNA helicase DHX36 [Anopheles arabiensis]:277-662	1.9e-179	1	XP_040168637.1_ATP-dependent DNA/RNA helicase DHX36 [Anopheles arabiensis]:277-662	1.9e-179	1	yes	NA	NA	NA	NA
NIRVS_13	JXXA01009613.1	8524	9081	557	UHK03280.1_acc|GENBANK|UHK03280.1|GENBANK|MZ209632|polyprotein_[Hangzhou_nephotettix_cincticeps_flavivirus_1]_taxid=2905439_JXXA01009613.1_9081_8524(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_040219604.2_probable ATP-dependent RNA helicase spindle-E [Anopheles coluzzii]:126-309	1.3e-80	3	XP_040219604.2_probable ATP-dependent RNA helicase spindle-E [Anopheles coluzzii]:126-309	1.3e-80	2	yes	NA	NA	NA	NA
NIRVS_14	JXXA01010942.1	8081	8341	260	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXA01010942.1_8341_8081(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_058060693.1_small ubiquitin-related modifier 3 [Anopheles bellator]:1-84	5.6e-39	2	XP_058060693.1_small ubiquitin-related modifier 3 [Anopheles bellator]:1-84	5.6e-39	2	yes	NA	NA	NA	NA
NIRVS_15	JXXA01013294.1	1666	1941	275	AAB92355.1_acc|GENBANK|AAB92355.1|GENBANK|U89438|nonstructural_protein_P125-2_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXA01013294.1_1941_1666(-)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_050087135.1_small ubiquitin-related modifier 3 [Anopheles aquasalis]:1-91	2e-42	1	XP_050087135.1_small ubiquitin-related modifier 3 [Anopheles aquasalis]:1-91	2e-42	1	yes	NA	NA	NA	NA
NIRVS_16	JXXA01017256.1	7318	7578	260	AAM77034.1_acc|GENBANK|AAM77034.1|GENBANK|AY117145|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXA01017256.1_7318_7578(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_035896098.1_gamma-aminobutyric acid receptor-associated protein [Anopheles stephensi]:32-117	6e-41	6	XP_035896098.1_gamma-aminobutyric acid receptor-associated protein [Anopheles stephensi]:32-117	6e-41	5	yes	NA	NA	NA	NA
NIRVS_17	JXXA01018599.1	368	1369	1001	AHW57610.1_acc|GENBANK|AHW57610.1|GENBANK|KJ660072|polyprotein_[Pestivirus_PG-2]_taxid=219447_JXXA01018599.1_380_1369(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	XP_041780789.1_putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles merus]:110-442	8.4e-184	4	XP_041780789.1_putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1 [Anopheles merus]:110-442	8.4e-184	3	yes	NA	NA	NA	NA
NIRVS_18	JXXA01019652.1	10534	10942	408	CAJ78441.1_acc|GENBANK|CAJ78441.1|GENBANK|AM231628|polyprotein_[Bovine_viral_diarrhea_virus_1]_taxid=11099_JXXA01019652.1_10841_10942(+)	25	0	0.0	NA	NA	-1	0	.	.	.	.	.	.	.	.	3DBL_I_Chain I, NEDD8 [Homo sapiens] >3DBL_J Chain J, NEDD8 [Homo sapiens] >3DBL_K Chain K, NEDD8 [Homo sapiens] >3DBL_L Chain L, NEDD8 [Homo sapiens]:1-62	1.2e-14	3	3DBL_I_Chain I, NEDD8 [Homo sapiens] >3DBL_J Chain J, NEDD8 [Homo sapiens] >3DBL_K Chain K, NEDD8 [Homo sapiens] >3DBL_L Chain L, NEDD8 [Homo sapiens]:1-62	1.2e-14	2	yes	NA	NA	NA	NA
