eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ABRO01_EVE001	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABRO01012668.1_381-564:+	2.89e-5	51.6	Regulatory protein E2 n=1 Tax=Equus caballus papillomavirus 8  RepID=A0A1D9EPW8_9PAPI	Regulatory protein E2 n=1 Tax=Equus caballus papillomavirus 8  RepID=A0A1D9EPW8_9PAPI	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Treiskappapapillomavirus;s__Treiskappapapillomavirus 1	Cossaviricota
ABRO01_EVE002	high	100	viral (1)	VDB (1)	ABRO01019117.1_389-1055:-	6.21e-6	30.2	movement protein [Turnip yellow mosaic virus] acc=AMH40124.1 	movement protein [Turnip yellow mosaic virus] acc=AMH40124.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus brassicae	Kitrinoviricota
ABRO01_EVE003	high	100	viral (1)	VDB (1)	ABRO01034162.1_255-538:-	9.48e-5	33.7	E4 protein [Human papillomavirus 98] acc=CAW42219.1 	E4 protein [Human papillomavirus 98] acc=CAW42219.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Betapapillomavirus;s__Betapapillomavirus 1	Cossaviricota
ABRO01_EVE004	high	100	viral (11)	VDB (11)	ABRO01094198.1_5492-5894:-	1.49e-6	56.4	polyprotein [Bovine viral diarrhea virus 1] acc=BAW33237.1 	polyprotein [Bovine viral diarrhea virus 1] acc=BAW33237.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
ABRO01_EVE005	high	100	viral (3)	VDB (3)	ABRO01102539.1_1636-1920:+	3.44e-8	40.8	349-kDa polyprotein [Citrus tristeza virus] acc=BAB18522.1 	349-kDa polyprotein [Citrus tristeza virus] acc=BAB18522.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Martellivirales;f__Closteroviridae;g__Closterovirus;s__Citrus tristeza virus	Kitrinoviricota
ABRO01_EVE006	high	100	viral (1)	VDB (1)	ABRO01106854.1_251-766:-	2.39e-6	30.6	E2 [Peromyscus papillomavirus 1] acc=YP_009508758.1 	E2 [Peromyscus papillomavirus 1] acc=YP_009508758.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Iotapapillomavirus;s__Iotapapillomavirus 2	Cossaviricota
ABRO01_EVE007	high	100	viral (1)	VDB (1)	ABRO01110618.1_932-1352:+	1.41e-7	35.9	E4 [Canis familiaris papillomavirus 10] acc=YP_004895384.1 	E4 [Canis familiaris papillomavirus 10] acc=YP_004895384.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Chipapillomavirus;s__Chipapillomavirus 3	Cossaviricota
ABRO01_EVE008	high	100	viral (6)	VDB (4), endogenous (1), UDB Viruses (1)	ABRO01147601.1_317-618:+	1.3e-9	37.4	RNA-directed RNA polymerase n=2 Tax=Carbovirus  RepID=A0A2K8MNE1_9MONO	RNA-directed RNA polymerase n=2 Tax=Carbovirus  RepID=A0A2K8MNE1_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Carbovirus;s__unclassified Carbovirus species	Negarnaviricota
ABRO01_EVE009	high	100	viral (1)	VDB (1)	ABRO01149088.1_1595-1928:+	4.44e-8	36.3	polyprotein [Picornavirales sp.] acc=UNY55437.1 	polyprotein [Picornavirales sp.] acc=UNY55437.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;f__unclassified Picornavirales family;g__unclassified Picornavirales genus;s__Picornavirales sp.	Pisuviricota
ABRO01_EVE010	high	100	viral (1)	VDB (1)	ABRO01181294.1_979-1463:+	1.67e-6	29.9	putative movement protein [Grapevine asteroid mosaic associated virus] acc=YP_009315884.1 	putative movement protein [Grapevine asteroid mosaic associated virus] acc=YP_009315884.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Marafivirus asteroides	Kitrinoviricota
