eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ABDC01_EVE001	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABDC01039912.1_3108-3398:+	2.6e-5	34	ORFC2 n=3 Tax=Zebra finch circovirus  RepID=A0A0E3Z5I7_9CIRC	ORFC2 n=3 Tax=Zebra finch circovirus  RepID=A0A0E3Z5I7_9CIRC	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Arfiviricetes;o__Cirlivirales;f__Circoviridae;g__Circovirus;s__Circovirus zebrafinch	Cressdnaviricota
ABDC01_EVE002	high	100	viral (1)	VDB (1)	ABDC01049732.1_3083-3858:+	1.1e-6	27.3	movement protein [Switchgrass mosaic virus] acc=YP_004464921.1 	movement protein [Switchgrass mosaic virus] acc=YP_004464921.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
ABDC01_EVE003	high	100	viral (1)	VDB (1)	ABDC01053917.1_6803-7081:+	1.1e-6	36.9	polyprotein [Hepeviridae] acc=AFZ75457.1 	polyprotein [Hepeviridae] acc=AFZ75457.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__unclassified Hepeviridae genus;s__Hepatitis E virus	Kitrinoviricota
ABDC01_EVE004	high	100	viral (1)	VDB (1)	ABDC01072795.1_204-1132:+	1.19e-5	29.2	capsid protein [Sogatella furcifera hepe-like virus] acc=YP_009553212.1 	capsid protein [Sogatella furcifera hepe-like virus] acc=YP_009553212.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__unclassified Hepeviridae genus;s__Sogatella furcifera hepe-like virus	Kitrinoviricota
ABDC01_EVE005	high	100	viral (1)	VDB (1)	ABDC01073635.1_2686-3580:-	2.41e-6	27.4	replicase [Asclepias asymptomatic virus] acc=YP_004464924.1 	replicase [Asclepias asymptomatic virus] acc=YP_004464924.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Asclepias asymptomatic virus	Kitrinoviricota
ABDC01_EVE006	high	100	viral (1)	VDB (1)	ABDC01080196.1_9-595:+	6.48e-7	29	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
ABDC01_EVE007	high	100	viral (1)	VDB (1)	ABDC01126991.1_873-1453:-	2.87e-6	28.2	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1 	overlapping protein/movement protein [Physalis mottle virus] acc=NP_619755.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus physalis	Kitrinoviricota
ABDC01_EVE008	high	100	viral (3)	UDB Viruses (2), VDB (1)	ABDC01144163.1_2395-2660:-	8.7e-6	39.6	Polyprotein (Fragment) n=1 Tax=Switchgrass mosaic virus  RepID=F6M7T7_9VIRU	Polyprotein (Fragment) n=1 Tax=Switchgrass mosaic virus  RepID=F6M7T7_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
ABDC01_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	ABDC01205785.1_275-695:+	3.61e-5	32.2	Putative movement protein n=1 Tax=Plantago mottle virus  RepID=Q3BD97_9VIRU	Putative movement protein n=1 Tax=Plantago mottle virus  RepID=Q3BD97_9VIRU	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus plantagonis	Kitrinoviricota
ABDC01_EVE010	high	100	viral (1)	VDB (1)	ABDC01211471.1_1421-2057:-	1.72e-6	29.6	putative movement protein [Grapevine asteroid mosaic associated virus] acc=YP_009315884.1 	putative movement protein [Grapevine asteroid mosaic associated virus] acc=YP_009315884.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Marafivirus asteroides	Kitrinoviricota
