eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ACBE01_EVE001	high	100	viral (20)	VDB (18), UDB Viruses (2)	ACBE01020071.1_657-1379:+	1.5e-31	42.4	putative rep [European bee-eater circovirus] acc=UMM62403.1 	putative rep [European bee-eater circovirus] acc=UMM62403.1 	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Arfiviricetes;o__Cirlivirales;f__Circoviridae;g__Circovirus;s__European bee-eater circovirus	Cressdnaviricota
ACBE01_EVE002	high	100	viral (1)	VDB (1)	ACBE01042211.1_250-610:-	2.47e-6	32.3	ORF1a [plateatu pika coronavirus P83] acc=QZL09680.1 	ORF1a [plateatu pika coronavirus P83] acc=QZL09680.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Nidovirales;f__Coronaviridae;g__unclassified Coronaviridae genus;s__plateatu pika coronavirus P83	Pisuviricota
ACBE01_EVE003	high	100	viral (1)	VDB (1)	ACBE01050716.1_574-897:+	7.62e-7	33.3	putative E4 product [human papillomavirus 150] acc=CBK38950.1 	putative E4 product [human papillomavirus 150] acc=CBK38950.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Betapapillomavirus;s__Betapapillomavirus 5	Cossaviricota
ACBE01_EVE004	high	100	viral (1)	VDB (1)	ACBE01050991.1_2184-2589:+	7.75e-7	32.5	putative replicase [Tombusviridae sp.] acc=UHS72364.1 	putative replicase [Tombusviridae sp.] acc=UHS72364.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Tolucaviricetes;o__Tolivirales;f__Tombusviridae;g__unclassified Tombusviridae genus;s__Tombusviridae sp.	Kitrinoviricota
ACBE01_EVE005	high	100	viral (1)	VDB (1)	ACBE01051969.1_1312-2134:+	1.55e-6	29.5	movement protein [Watercress white vein virus] acc=AFC95825.1 	movement protein [Watercress white vein virus] acc=AFC95825.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Watercress white vein virus	Kitrinoviricota
ACBE01_EVE006	high	100	viral (1)	VDB (1)	ACBE01054246.1_2787-3264:+	9.75e-7	32.1	viral protease and RNA polymerase [Aichi virus 1] acc=BAC20367.1 	viral protease and RNA polymerase [Aichi virus 1] acc=BAC20367.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;f__Picornaviridae;g__Kobuvirus;s__Kobuvirus aichi	Pisuviricota
ACBE01_EVE007	high	100	viral (1)	VDB (1)	ACBE01088178.1_7234-7397:-	2.67e-8	49.1	phosphoprotein [Hepeviridae] acc=QED22682.1 	phosphoprotein [Hepeviridae] acc=QED22682.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__unclassified Hepeviridae genus;s__Hepatitis E virus	Kitrinoviricota
ACBE01_EVE008	high	100	viral (1)	VDB (1)	ACBE01088295.1_720-1028:+	3.3e-6	26.7	putative NSs [Brazoran virus] acc=YP_008400135.1 	putative NSs [Brazoran virus] acc=YP_008400135.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Peribunyaviridae;g__Orthobunyavirus;s__Orthobunyavirus brazoriaense	Negarnaviricota
ACBE01_EVE009	high	100	viral (1)	VDB (1)	ACBE01091390.1_45-948:-	7.67e-6	26.6	polyprotein [Rocahepevirus ratti] acc=AVP32813.1 	polyprotein [Rocahepevirus ratti] acc=AVP32813.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__Rocahepevirus;s__Rocahepevirus ratti	Kitrinoviricota
ACBE01_EVE010	high	100	viral (2)	UDB Viruses (1), VDB (1)	ACBE01091418.1_553-861:-	2.21e-5	39.4	RNA-directed RNA polymerase n=2 Tax=Riboviria  RepID=A0A9E7V2E3_9VIRU	RNA-directed RNA polymerase n=2 Tax=Riboviria  RepID=A0A9E7V2E3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Duplornaviricota
