eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AAKN02_EVE001	high	100	viral (21)	VDB (12), UDB Viruses (8), endogenous (1)	AAKN02028256.1_34669-34952:+	4.01e-25	57.9	endogenous bornavirus-like L-1 [Eptesicus nilssonii] acc=BAV93682.1 	RNA-directed RNA polymerase n=2 Tax=unclassified Bornaviridae  RepID=A0AA48SG54_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__unclassified Bornaviridae genus;s__unclassified Bornaviridae species	Negarnaviricota
AAKN02_EVE002	high	100	viral (20)	VDB (16), UDB Viruses (3), capsid (1)	AAKN02030352.1_11742-13826:+	1.86e-114	35.7	putative VP1 [Bufavirus-1] acc=AFN44268.1 	putative VP1 [Bufavirus-1] acc=AFN44268.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Bufavirus-1	Cossaviricota
AAKN02_EVE003	high	100	viral (20)	VDB (17), UDB Viruses (3)	AAKN02030352.1_3866-5361:+	8.659999999999999e-112	39.1	NS1 [Bufavirus-3] acc=BAO56906.1 	NS1 [Bufavirus-3] acc=BAO56906.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Bufavirus-3	Cossaviricota
AAKN02_EVE004	high	100	viral (20)	VDB (15), UDB Viruses (5)	AAKN02032906.1_58104-59804:-	1.1499999999999999e-89	32.7	NS1 protein [Protoparvovirus sp.] acc=UPH39292.1 	NS1 protein [Protoparvovirus sp.] acc=UPH39292.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus sp.	Cossaviricota
AAKN02_EVE005	high	100	viral (20)	VDB (15), UDB Viruses (5)	AAKN02032908.1_10674-12350:+	2.2899999999999997e-87	31.2	NS1 [Bufavirus-3] acc=BAO56906.1 	NS1 [Bufavirus-3] acc=BAO56906.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Bufavirus-3	Cossaviricota
AAKN02_EVE006	high	100	viral (2)	UDB Viruses (1), VDB (1)	AAKN02038766.1_32184-32422:+	6.06e-10	43.8	E4 [Canis familiaris papillomavirus 20] acc=AMQ81157.1 	E4 [Canis familiaris papillomavirus 20] acc=AMQ81157.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Chipapillomavirus;s__Chipapillomavirus 1	Cossaviricota
AAKN02_EVE007	high	100	viral (1)	VDB (1)	AAKN02044426.1_17847-18047:+	5.72e-8	38.8	polyprotein [Hepeviridae] acc=AIK01913.1 	polyprotein [Hepeviridae] acc=AIK01913.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Hepelivirales;f__Hepeviridae;g__unclassified Hepeviridae genus;s__Hepatitis E virus	Kitrinoviricota
AAKN02_EVE008	high	100	viral (20)	VDB (18), capsid (1), UDB Viruses (1)	AAKN02045644.1_16237-17081:-	3.68e-34	38.2	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1 	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota
AAKN02_EVE009	high	100	viral (22)	VDB (20), capsid (1), UDB Viruses (1)	AAKN02045644.1_17781-18921:-	5.22e-44	39.1	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1 	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota
AAKN02_EVE010	high	100	viral (6)	VDB (5), UDB Viruses (1)	AAKN02045644.1_19152-19774:-	1.06e-9	33.6	Rep 52 protein n=1 Tax=Adeno-associated virus  RepID=A0A8A4YHG0_9VIRU	Rep 52 protein n=1 Tax=Adeno-associated virus  RepID=A0A8A4YHG0_9VIRU	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Adeno-associated virus	Cossaviricota
AAKN02_EVE011	high	100	viral (1)	VDB (1)	AAKN02051969.1_10647-11011:+	9.82e-9	36.2	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	hypothetical protein [Switchgrass mosaic virus] acc=AEE61365.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Marafivirus;s__Switchgrass mosaic virus	Kitrinoviricota
AAKN02_EVE012	high	100	viral (2)	UDB Viruses (1), VDB (1)	AAKN02054321.1_4192-4435:-	6.53e-8	36	polyprotein [Hepacivirus hominis] acc=ACT37141.1 	polyprotein [Hepacivirus hominis] acc=ACT37141.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Hepacivirus;s__Hepacivirus hominis	Kitrinoviricota
